days,content
210,"Best camera, fast charging, super battery backup 
Motorola should include back cover in box this is the only one thing missing."
210,"You can't find any flaw in this phone
Display 10/10
Battery 9/10
Camera 9/10
Perfomance 9/10
Sound sterio spaker 10/10"
210,Value for money product.
210,Best under budget pho
210,I am loving 🤩 it' superb camera
210,Vary nice phone thanks you Motorola and Flipkart
210,Nice mobile
210,"Best phone in budget, camera good, performance food
Only battery hitting problem on charging time
Please solve this in update"
210,Very good Product 🥰🥰
210,Very good mobile 📱
210,Product very good great price in segment
210,Great mobile. Everything is good except the sound volume.
210,Awesome product from moto
210,The device is great and has nice ui experience.but some times the front camera resolution differs and the image while capturing is blurry but after the image is captured then it's great picture.over a...
210,Value for money
210,Nice and attractive. Good camera. Needs to improve just the light handling if it comes directly in front of the camera. Phone is superb
210,Nice mobile
210,Very good
210,Very good super product
210,I think it's best all rounder stylish phone around 20k
210,"Nice design and display, with awesome camera and great experience with Dolby sound and amazing AI features and super battery performance and happy with 68 watt charging speed...overall best smartphone..."
210,This is a great phone with a good camera. I'm very happy with it.
240,Good
240,Super lovely 😍
240,Under 25000 best phone.
240,"Best phone in 25k budget 
All good display immersive 
Love this phone 🤌🩷"
240,"Very impressive phone, all over performance is very good, camera is also take very good picture, Moto AI features are very helpful, Thank you."
240,Excellent
240,Amazing camera quality worth for this budget...
240,Best
240,"Superb quality...
Superb dolby Atmos effect 
Camera is awesome 
Superb Device....."
240,Nice one !!
240,Brilliant phone osm display
240,"An absolute banger at this price range...
Undoubtedly awesome...
A mobile with almost perfect in everything..Camera, battery, durability, display, sound, design everything is top notch... In recent He..."
240,Best camera this price range best display top display
240,"Camera quality is superb 
Battery life excellent 
Sound and screen quality is outstanding 
A must buy phone in this range 
Motorola always rocks"
240,Totally Worth it 😌
240,"One of the best mobile for this price segment 
I am didn't play game in mobile - Value for money"
240,"Nice phone... Fast charging 👌, battery backup good👌, camera overall good, processor average 😌, no hitting problem 👍, not for gaming (bgmi)..."
240,Ok ok
240,"Outstanding performance 😍😍
Very very nice 🙂"
240,Good phone. Value for money.
240,Most valuable moto phone and good professor and over all good midel class
270,Mind-blowing camera
270,"Absolutely in love with the phone, 💯 worth it"
270,"Review after a week👇

Display- 5/5 (Better than aMOLED, Pleasant to eye with color depth. The best experience while watching a movie, 10bit support boosts the movie experience in Netflix)
Camera- 4.5..."
270,Excellent Display Quality.
270,What a camera and the display colours are awesome absolutely go for it if you looking for a camera phone.
270,Good bast mobile phone ❤️
270,Mobile display is good
270,Good best better mobile moto
270,I love this phone
270,Value for money..nice Smart phone.. camara.. excellent  sound quality... Very good..specially display excellent performance .. Battery performance is not very good..but its ok.. slightly heating issue...
270,"Value for Money💵
Awesome Phone 📱 
Overall under 25000 budget Moto edge 60 fusion is extremely excellent 🔥
Camera =5/5📷
Performance=5/5
Display=5/5
Battery =4/5 🔋
I am very Happy with motorola 😍"
270,My brother loved it
270,"Overall, the best in its price range. Display is excellent. Fast charging works fine. Watching movies on Netflix even without hdr is awesome. For multimedia users, this is undoubtedly the best choice."
270,Very nice and classy phone
270,MOTOROLA EDGE 60 FUSION 5G IS SOO BEAUTIFUL
270,"Camera 9/10
Processor 8/10
Display 10/10
Battery backup 8/10
Over all 8.5/10
Feels good in hand, very slim, finger scanner should have been slightly higher, display is awesome, processor should have b..."
270,Better then samsung
270,Beautiful
270,Good Mobile best price
270,All good but front camera can be better..
270,Every thing is ok... Only heating issues.... Hope moto will do something in his next software update
270,"Excellent phone at this price point. You can buy this phone without thinking about any other phones. No heat issue, no battery issue, no performance issue. Everything is just awesome. 

Specifically I..."
270,Super fast delivery and phone is very good
270,Awesome 😎👍👍👍
270,Super and stylish design best price for buject
270,Just wow mobile 😍
270,I like the weight of mobile which is very low. In hand feel very good.5g network is also very faster than other mobile I used. This is my first Moto mobile. Thank u motorola and flipkart for fast delivery.b
300,Phone is owsome
300,Good
300,Thankyou moto @AJ
300,everthing is good except performance. it can be better at this price range
300,Very nice and
300,superb allrounder mobile
300,Good camera
300,It's good product and value of money
300,Over whelmed
300,Per
300,For this budget buy this phone
300,"Very good phone 
love moto 🤳👍"
300,This Moto Edge 60 Fusion Have awesome features.and it's camera capture dslr like photos.
300,"Great phone, I was previously using Motorola which was purchased a couple of years back. I really appreciate the way Motorola innovated in these couple of years. I can see the difference in same price..."
300,Best phone under the budget
300,Good amazing Phone
300,Value for money
300,"Fantastic phone, I have ever seen. It really click DSLR like photos and have great zoom."
300,Awesome and worthy for money 😁😁😁😁💰💰💰💰💰💰
300,"Camera Good 
Battery Nice 
Display awesome 
Design awesome 
Performance nic"
300,Good
300,This product is good
300,"Just amazing phone on this price 
Joyful sound 
Camera quality is very good"
300,Good
300,Awesome Phone
300,So sexy mobile 😀😍🤤
300,"It has everything but, if there were NFC and UFS 3.1, it woud be the best phone in this range."
300,"camera is very good.
comfortable to hold the phone in hand."
300,Best
300,Powerful and camera centric phone 🙏🙏🙏👍👍👍👍💯💯💯💯💕💕💕💕💕💕💕💕
300,Good Design also quick fast charging Camera quality is very super
300,"Phone is super smooth, camera performance is quite good and captures well detailed photo. Moto AI feature is what make it distinct."
300,"Amazing phone, camera, display, ai everything is top notch"
300,Excellent brilliant super beautiful performance and bhot acha phn hai very nyc look 💞💞💞💞
300,super duper in this segment
300,"Brilliant display, immersive video watching experience. Very good speakers. 
Looks extremely premium with very good cameras. 

Overall very happy with the purchase!!"
300,Best Budget Segment Mobile 📱
300,Just Awesome 💞💞
300,Nice product thanks flipkart camara design was 👍 nice vera level camara curved display 1.5 k resolution ultimate media constipation is nice
300,For the Price range I would say Just go for it!
300,Great mobile for this price range. Display quality is soo good like premium. Camera quality also good. Worth for the money you had spend
300,Very good phone 📱 very good features
300,No photo gallery     I'll be great if photo gallery pre installed
300,OSM
300,I love this phone ❤️
300,Very good purchase if you want a light weight yet ossom quality phone for your daily use...but the only problem is the vegan leather gets dirty very easily..so never use it with out a case...
330,What a mind-blowing phone
330,One of the best smartphones in the 20-25k segment. Camera is very good at this price. Long hour Battery. Good fast charging.
330,"1.super phone in budget sagment
2. camera very good
3.i like display"
330,"The display is excellent 👌! Camera is average , will do most of the job, don't expect stellar photos, performance is great for daily use, High graphics games might not support"
330,"The Motorola Edge 60 Fusion appears to be a well-rounded mid-range smartphone that offers a premium design, a vibrant display, solid performance, and excellent durability. It stands out with its water..."
330,Allover the phone is fine but the image processing is too slow like old phones
330,Superbbbbb in hand feel and super light weight
330,Thank you
330,Fantastic Mobile Great 👍🏻
330,"hello moto 🩵 
Nice product, love this , value for money"
330,This product is very good 👍😊😊
330,"product is excellent and looking is so good, Camera Quality Also Excellent  but i request to Add A Gallery Software and also provide a Back cove Also"
330,"Camera is best in this price segment, But I have faced network issue sometime but everything is Good...I,m so happy......also Edge detection is the best portrait mode"
330,"Nice phone
❣️"
330,It's so cool
330,"Phn are preety look overall its value's for money 🤑 but one doubt ,Which tempered glass should I use ??"
330,camera is awsm...battery performance is good...excellent phone in this price range
330,Excellent mobile
330,Very good 😊
330,OSM
330,"The phone is good as expected. If you want to buy a decent phone with good specifications then go ahead.
Not performance centric but camera."
330,Thankyou Flipkart
330,Thankyou Flipkart
330,"Very light phone.
Overall all experience is good 😊"
330,"Mobile is very good in this price range..value for money
Camera is good..
Battery life is also good..
Little bit heating problem while charging..
Mobile phone is handy but without cover it's little bi..."
330,Best camera and design in this price segment
330,Awesome
330,Good
330,Excellent
330,Very Nice Phone ....
330,Excellent performance and superb camera
330,Good mobile phone 📱📱📱
330,Super
330,Nice product
330,super
330,Excellent phone moto edge 60 fusion..
330,"Best product 
Value for money 
Best camera 
Best design"
330,This product is so good.I thankful to Flipkart for this phone.IT IS VERY GOOD product.I am so happy for the product
330,"The ph is awesome,screen curve is very nice"
330,Display super
330,Nice phone
150,Shame on Flipkart...On last day of the BBD sales the price is decreased by 1000 more.till tody the price is below the BBD price.what is the meaning of doing BBD SALES...
330,"Good Camera 4/5
Light weight 5/5
Display 5/5
Quard display so have risk of screen damage, no cover provided.
Overall 4/5
Best in range. If you want similar features and durability, go with Moto Edge60..."
330,"premium design, and the display feels incredibly smooth"
300,"Good phone, battery life was good in beginning but after a week battery life just dropped from 30hrs to 21hrs"
330,"Bad camera, portrait shot is ok but when you zoom in then the photos are in blur😑."
330,"The battery is very poor.only half day.
Camara average."
210,"Battery drains very fast
Performance is average
Heats up during charging"
300,"Network connection is very poor, calling issue and it is the main problem on this phone and second night photo and video not as expected. Apart from that all good."
300,Go for it 😀
240,"Excellent design and build quality 
Clean android experience 
Good camera 📸 
Turbo fast charging"
90,"Camera quality is excellent, run smoothly"
120,This is alrounder phone with decent camera.
150,Good pho
150,It gives a good feel when we holding it and the display quality is good.
150,Received yesterday. Feels premium. Look and feel good. There is a very minor lagging issue but that doesn't matter if you're not a hard core gamer (this phone isn't for gaming). Battery lasts longer i...
180,Nice
180,Fabulous 😁🤩 😍
180,"It's okey for normal user.
heat problem is more often..."
180,"Overall phone is good, camera and battery is top notch..only issue is network connectivity.."
180,The camera is really good.  With average use of the mobile the battery lasts comfortably for the whole day
210,Display is very good... internet connectivity is very fast... satisfied with this product
240,Very nice am happy 😊
270,"Although all over phone is very good .
But if u r looking for security in ur phone then u shouldn't go for this phone as per my opinion, because moto does not have secure app lock,it does not hide app..."
270,"Good phone under 25000. Camera can be better. Overall satisfied. 
Experienced bad delivery from Flipkart this time. Delayed for 2 days"
270,Overall Good And Design Is Amazing
30,"Network issue little bit low , otherwise all the program is so good 😊"
60,Good but need speed and new features
60,"Battery backup is not good 👍 
The rest is OK. 
And the front camera needs an update"
60,Camera is not good  plz don't bay
90,"Every is fine but the camera performance is below average. If camera is not the major requirement,then only consider it to buy."
90,"Hot spot issue,not working when other mobile attached to this"
90,Camera zoom not clear
90,Not upto good average
120,"Phone lag is a major problem. Even if the camera, battery, and design are good, if the phone lags it's useless.
A phone with average camera or design is acceptable, but if the performance is poor, the..."
120,Only battery issue rest all perfect for this price.i am not a gamer
150,Very good
150,No Gallery app
150,Heat problem lag problem poor selfie camera battery drained
150,Nice 😊
150,Network Fluctuations Issue with  Indoor and Outdoor And Screen Saver Is not showing on the screen after when Phone Locked Camera Quality Is Okay Not Is Better Other than Phone In Market with In this P...
150,"Camera not consistent 
Too much yellow tone"
150,Sound not ok
150,Amazing camera quality
150,Impressive in this price range. Complete package.
150,Camera is not as my expectations i already use Realme GT2 same camera Sony lence camera is absolutely well
150,ok phone but built quality weak
180,So much heating problem..and battry issue just6-7hour
180,Touch response little bit slow
210,Heavy Battery Drain issue 🥲🥲
210,"I am not satisfied bcz Internet connectivity is very poor, especially in low network areas where it hardly works. Apart from that, the phone hangs sometimes, battery backup is weak, and charging is sl..."
210,"#Display is very bad as compared to Amoled.if want good display always prefer amlod.
#performance is not very good some time taking time to open an APP or page.
#design great.
#camera good.
#battery good."
210,I had been wanting to buy a motorola mobile for a long time. Motorola's mobile is quite good. The battery backup is a little less. I liked it in comparison to other mobiles. Overall good mobile on flipkart
210,I used the last 3 months don't buy this mobile battery automatically dry if your not using mobile also and if you turn on wifi hotspots will turn off. Some time mobile will hang. While charging the mo...
240,Worst camera don't buy with this price range
240,Not impress this phone
240,"Phone is good, but heating issue not resolve."
240,Network not proper working
270,Average quality product.
270,"Everything is good except camera is ok ok give a redness vibe in picture hope they fix it in updates sometimes mobile stuck also i don't know why but has some bug also ...... 
All is considerably good..."
270,Camera quality issue More noise on pictures
270,"Moto AI is not working properly,Pic eraser is very bad, not working properly,I am very disappointed with this phone 
Don't buy it"
270,"This phone has problem in connecting to 5G. 
The same place where 5G network is available in the phone of some other company is the same place where 5G network is not available in the phone. 
And the ..."
300,Charging problem
300,"photos:10/10
Gameing:10/8
Display:10/10
Battery: 10/9"
300,Nice product.
300,Some slowness in screen tou5
330,"Exchange policy is bad , mobile condition everything good but problem on calling time by earbud"
330,"The the leather at the back turns yellow
rest its good performance wise
front screen is durable"
330,Front camera not good 👎🏻
330,Front camera is not good
330,Very good camera and battery also good
330,Best choice for normal use phone better experience
330,Good
90,"Below average according to the price of 22k
Expected better Ui and Camera performance.
Motherboard died only in 5 months"
180,Camera is descent battery backup low almost 4-5 hrs performance average
180,Lagging issues
330,This mobile not water resistant
60,"This model is ultimate. I am using this by 3 months, and everything got nice. Good camera at night as well. Sound quality is unmatched, really u feel Dolby Atmos without buds. Display is mind blowing,..."
90,Good
90,Very good mobile but samsung is best...
150,"Nice phone, best camra and battery performance."
150,Design and congratulations and all performance is good but camera 4.5 rating and tuch is not very quickly compared to my old  mi mobile.
150,Nice
150,Excellent camera and the display in the category.l liked a lot.Good performance.Thank you Moto.
150,The camera is osmm!
180,"Premium look
Smooth experience 
Camera worth"
180,Good smartphone performance
180,Best Mobile in this range ✨🔥
180,For my love
180,Best in market best in photography. Love it
180,Sup
180,Super
180,"I like camera, display and performance 🥰👌👌"
180,Thank u Flipkart good photos
180,Very good mobile phone with great display.
180,Nice looking with soft touch
210,Best phone this price range ❤️❤️💗❤️❤️
210,Specifications is Good. Grip Good. Available color Good.
210,"Exceptional camera, WOW display 🤩 go for it .. nice purchase"
240,"I Love it nice product 
Camera nice 
Battery nice 
Lite wet but 
chrjar is west not working"
240,"All things considered, I believe that this phone is the best value phone on the market for its price. I would recommend it as it seems to be both user-friendly and affordable."
270,"Nice product from motorola, I buy it for my personal use and it's performance is great."
270,"Softwer is very bad  they have basic apps using. Google apps basic like contact, in contact if you search S it will give all names that has S , general it should give with same start with S . Phone is..."
300,"Good phone
Battery good
Camera good
No lag for me as i m not heavy user
Overall good for me n enjoying it."
300,good
300,Very nice 👍
300,Everything is best but day to day task device lags on basic daily task I don't play heavy games but device lags  only 2 days has done when I bought this device it need optimisation by software update
300,I like the curve display it's my first curve display mobile. Speaking about cons Motorola needs to create their own apps.
330,"Camera quality is awesome .. dolby sound , curved display fast charging. mobile is overall good on this price range .."
330,Best phone
330,"Camera quality Best 
Display quality Best 
Battery best"
180,"Much improvement needed in terms of UI, more customisation needed"
330,There is little gap at the right side through which water may enter
330,"Fantabulous for the Mobile Uses and Screen is a Awesome 

Camera Very Clarity for Still

Power backup 2 Days"
330,All gud specially flipkart agent shubham such a very nice person ane gud behiver. Thanks flipkart for gud man power in marketing
180,"If u want a mobile camera don't buy it, The camera is very poor, only the name 50mp but quality is 5mp batter is good"
240,"One of the best camera phone in this price range with good battery, good display and decent performance."
330,I'm really disappointed... I will explain my experience some couple of weeks
330,Camera is not good but Photo Quality good 😊👍
330,Stunning.
330,Great value at this price
330,I love it. Thanks flipkart.
1,Nice product and looking or features is best from other mobile
1,"Good phone for the price. The display, design, and battery are very impressive and the overall experience is smooth. However, the front camera could have been better, and there are some minor lock scr..."
1,Very nice
1,Good phone 🥰
1,"Compare to other models camera quality is low.
Battery life is good 
Value for money"
1,Nice performance and good camera
1,Thank you moto
1,Very good👍
1,Amazing
1,Very nice
1,Good
1,"Working well, fast and furious Phone"
1,All good
1,Good
1,Nice phone
1,Network problem issu
1,Nice
1,Hanging
1,Heating problem
1,Very Slow in multiple application run
1,Good
2,Nice product
2,Best
2,Nice product
2,Good
2,"Design,camera, performance all good 👍"
2,Good  product 👍
2,Superb phone h bas battery performance/Health
2,Nice ❤️
2,Feels looks like iphone
2,Bad phone
2,Gud camera and no smooth tuch lists of laginig
3,Best in price and performance
3,Need to improve camera Quality otherwise everything is ok and it's battery 🪫🔋 backup is awesome.
3,Good product
3,Superb
3,Not satisfied
3,Very good
3,Very good phone 🤳
3,Good
4,Good to use
4,Best phone
4,Good
4,Good
4,Camera is bad
4,Good
4,Phone not in working condition
4,Best all rounder phone in this price range...
5,Nice 👍
5,Good quality very good model
5,Best phone for daily use
5,Nice Phone for College students
5,Don't buy this mobile because the worst camera
5,Phone is excellent in performance and look
5,Sound quality very poor
5,Good
5,This phone is simply superb on this price right now.
6,Good performance
6,overall all functions are good. But the sound quality of this phone is very worst and bad.. sound is not clear and audible as very much to comparing to other phones.. so when you purchase this phone p...
6,Excellent mobile phone with an affordable price.
6,Good
6,Good
6,"This is not a waterproof mobile, don't buy it"
6,"Excellent must purchase it. Sound is good, camera quality also good and battery backup is sufficient."
7,Very good mobile
7,Excellent phone with nice camera
7,Camera super nice
7,Good product go head
7,Good product
7,My mobile charger port technical issue
7,Ok
7,Everything is good 😊
7,This is a good mobile phone.paisa woosul.
7,Good smartphone
7,Expensive 🫰🏻 product I love 😘 it
8,Very great phone with a very great quality of camaras
8,very bad
8,Good
8,Very bad
8,Phone is good   nd camera 💥
8,Good purchase and value for money for 16k
8,Good product
8,"Very Good phone in this price range. 
Good Design
Good Camera
Battery Life is great.

The only down side is Network receptor seems a little down as sim signal issues has increased in this phone when c..."
9,Mobile weightless and sleek and feel small in hand feeling.. Love it
9,Good performance
9,Good
9,Good product
9,God
9,"Value for money. 
Best phone in this range."
9,Overall very good
9,Awesome phone moto
9,Satisfied
9,Awesome product Nice I like it.
9,After 8 months phone was dead due to mother board issue .
9,Good
9,Awesome 👍 product
10,I nice phone
10,"Very nice mobile and easy used handling 
And good quality"
10,Awesome mobile and camera quality is also good
10,Camera stucks every
10,Good
10,Nice camra
10,Good phone
10,Very good mobile ph
10,Very nice mobile
10,Good mobile
10,Excellent product
10,"camera is just awesome at this price range...
display is very good, sound quality is also...
little heating issue while charging.... 
performance is awesome... 
at this price range just worth it..."
10,Good batter
11,This product is very very good
11,Very nice product
11,Overall good phone at this price range
11,Not better in 20k
11,Perfect phone in all segments...
11,But not fixed even after 2-3 updates
11,Using after 2 months i have a problem with charging issue mobile is not charging. first time I have faced worst experience with Flipkart
11,"Camara quality just like a wow super 
Battery charge very fast 50 mint full charge 
Performance iss normal 
Display is super 
Speaker quality ak number"
11,Ok
11,Value for money
12,Good 😊 product value for money
12,Normal
12,Really So Osm Product... Very Nice Mobile In Budget.
12,All ok
12,Mobile hanging
12,Not good not bad
12,Very nice flipkart
12,Not working properly
12,Value for money
12,Good phone overall. Design is very premium and lightweight. Display is smooth and bright. Camera quality is good for daily use. Battery backup is solid and charges fast. Performance is smooth for norm...
12,Good
12,Camera quality low and overall good
12,Good
12,Good mobile phone for best features and Good camera quality
13,Flipkart service best service and delivery boy best Flipkart number one online shopping..
13,Nice
13,I Love it 🤩
13,Ok
13,I'm satisfied with this price range 🙂
13,VERY BAD
13,Network problem is mostly found most of the time
13,Worst phone
13,Value for money hai thanx flipkart
13,good
13,Best value for money
13,All categories wise it's a good product. But I don't like camera originality. I expect good camera quality. Otherwise it's a budget all rounder
14,Every is ok go for it
14,very nice product
14,Superb product i lo
14,"Nice product.
Value for money"
14,One of the best product
14,Design is very bad
14,Good
14,Selfie camer is good but performance is not good in this price section over all budget buy
15,Good pho
15,Mobile is getting hanged sometimes and restarting when we send feedback no one will respond.
15,Superb
15,Good product and communication technology
15,Betry power is very disappoint me
15,Very bad very disappointed
15,Nice phone
15,"Camera best 
 Phone quality nice
Working smooth 
Good job moto"
15,Superb in this price range
15,Awesome design and features. Fabulous mobile.
15,Excellent product
15,Not good
15,This mobile is just awesome 💯😍❤️❤️
15,First Time I use Motorola Phone. It's very nice all the functions. Battery Performance is very Good . Mobile is light wait ..
15,Awesome picture
15,Nice
15,Mind blowing
15,Good phone
15,Best phone in this price and amezing cemara
15,Best mobile phone
15,"The front camera goes blurry Messenger.
I have read a thread on Motorola Community page too. This is device and software problem which is not resolved till date."
15,It's heating too only use half hour phone get heated like going to blast so risky it's heating like pan on gas
16,Toooooooo much good 💯 phone
16,Very Good. ❤️
16,Nice
16,Awesome
16,Really very good phone.
16,Great as expected!
16,Nice product
16,Must bye
16,Value for money
16,Good product Moto edge 60 fusion 5g
16,Awesome phone
16,Good Mobile
16,This is waist of money
17,Love this great camera
17,Worst phone ever I purchased please don't buy it
17,Display clarity on top 🔝
17,"Except lagging while saving the image in AI styled filter, everything is smooth."
17,Superb
17,Good
17,very bad camera
17,"Too much slowing, Bugggg phone 🤳🏻 
I'll never recommend from Motorola, plz go for other"
17,All good
18,"It does not support 4k 60fps video quality,the rest  is an amazing product with light weight, amazing looks and display with curves..."
18,Good phone in this range
18,It's an awesome mobile. Very good performance. No lag in every usage. Smooth operations
18,Good for value
18,"This is not a friendly user phone. I am writing this after using it for 2 months.
1. No Gallery options. We need to download private gallery which is too much advertisement. Even Moto Gallery is lot o..."
18,"Phone mic working very badly on call.
Please don't buy this phone"
18,"Good camera, decent performance. Pretty good for the price"
18,All Good 😊👍
18,Mobile over heating within 10 while video call. Noice came from Loudspeaker within 20 days
18,Just Wow .. Excellent Phone from Motorola ..American brand is always American ..
18,It's good phone nice carved display it's awesome mobile working display also so good .and features also good excellent condition moto feature thank you flipkart.🥰💗🫂
19,Osm
19,Love the design and internal features.got the desired features in this phone.
19,Next level phone.
19,Good performance
19,Product very go
19,Phone is good as per specifications but there is heating issue.
19,Amezing 💓🥰🥳🥳
20,Best in this range
20,Very nice
20,Power botten not working pro
20,Hello moto...... it' s good
20,Good
20,Good phone 👍🏻
20,"Camera Clarity Not Good 
Disappointed about that"
20,Full lag problem
20,I'm happy with the product and expectations.
20,Best in its price segment
21,Good
21,Mind-blowing Device
21,after 4 months software not work and mobile is hanging not good
21,Super mobile TQ Flipkart
21,Automatic shutdown
21,Without any hesitation go for it
22,Perfect in this price range
22,Very beautiful picture Moto phone 📱🤙 camera 📸 nice
22,Satisfied
22,Nice 👍
22,Worthy
22,Phone is good but camera quality is very poor.
23,love it
23,Very good product
23,Ok
23,My phone not even completed 4 months and its bettry swollen so high like it can blast any time. Please don't buy any motorola mobile it could harm you and  total waste of your money
23,Overall a nice 20k budget phone. A big shout out to MOTOROLA
23,It is better in size and all
23,Good product at this price.
23,Camera quality is very fantastic but Battery backup not good but ok
23,"* battery and charging - Good
* Display and design - Good
* Performance - okay
* UI/Ux - not good 
* Camera - worst camera ever, front and rear camera very bad, not good in daylight and night. 

Not s..."
23,Great 👍👍😃😃
23,Satisfied with this product
24,Very nice Phone
24,Good
24,Having display issue.
24,Okay
24,Very good.
24,Camera is fantastic 😊. Love this phone.
24,"Good design
Good camera quality 
Super amoled curved display true colour
Super ip69 protection
Super allrounder phone ........"
24,Not good enough.
24,"After 2months use this phone, my opinion is Motorola is back."
24,In this  range good mobile
24,"~Truly Awesome Value!
~Stylish Powerhouse!"
24,Good phone
25,Worst experience... don't buy this product a lot of problems something it's connect calls to another person...waste of money...
25,Value for money 💰
25,Mobile is not working
25,Good 👍
25,Supar slim set
25,Nice phone
25,Awesome
26,Sometimes video voices are breaking when mobile uses more then hours
26,This phone very over heating and battery performance is veri poor
26,Excellent 👌
26,5g network speed very low when comparing to my previous phone.
26,Good performance
26,Good product
26,Best phone
27,Good
27,Camera clarity is good
27,Very nice products
27,Good
27,Heating issue
27,Good
28,This phone switched off on its own and never get switched on again untill got repaired
28,Very very affordable mobile. 👌👌🙏
28,Gooddddd
28,"While talking on a video call, the phone gets hot very soon and it's so uncomfortable 😣 and sometimes it's blank, the features are not so good compared to the same amount of other mobile."
28,Very nice product
28,Waste of money
29,After 6 month my ph is automatically not working
29,Camera is not good and clicking blurr pictures
29,Good
29,Overall good product
29,It's good
29,"Camera 4/5
Battery 4/5
Display 5/5
Performance 4/5"
29,Heating problem
29,Nice one
30,Good mobile
30,"Awesome phone camra quality is superb.
Iam really satisfied with this phone.🙂"
30,Good but services problem
30,wow great mobile
30,Good
90,Very nice
90,Fantastic
90,Natwark problem Hitg
90,Phone not waterproof
90,It is an amazing mobile by moto in a best price range
90,Ok
90,Worest Mobile
90,Nice phone
90,Nice
90,I love it must buy
90,Overall good. Battery 🔋 backup se very good
90,5/5 rating awesome phone friendly budget
90,It hang too frequently
90,Ok
90,Excellent
90,Not good..i am purchase this product 3months olny.. mobile too gang..i recommend this product don't buy...
90,It need some improvement
90,Nice Camera
90,Excellent Phones
90,Very Good......
120,Nice 👍🏻
120,Great phone at this price good service by the service person
120,Best under 20k
120,Product is great... But I am fed up of this battery issue... It does not stay for 24 hrs without even using wifi or gps or hotspot... Having serious battery issue... Getting discharged very soon
120,Best phone in this range
120,Gud
120,Good
120,Ok
120,I was put on the play store app update and the mobile was hanged and shut down at the same time.
120,good phone
120,Nice
120,Phone camera is good battery backup is good every thing is so pursiches this ph8
120,Excellent 👍🏼👍🏼
120,All' Good 👍
120,"Having heating issue while charging, freezing many time and battery draining without uses and don't have option of return or exchange also"
120,Super quality mobile
120,It's a very good phone..
120,Water leakage problem in the product
120,Nice
120,This is 2 months after review... Really the best mobile.. no doubt go for it
120,"Network issues, slow response, bad touch response,"
120,"Amazing product. Value for money product, smooth interface, multiple standalone features and reliable !
Upgraded from Moto G62. No issues in last 3 years within the motorolla system, mentioning this b..."
120,nice phone amazing🥰value for money 💰
120,Good product amezing
120,I loved the phone. curves are good brighter display but the speakers should be more better though it comes with Dolby still distortion is there.
120,"Mobile got very heat unable to use more hours,"
120,Ok
120,Ok
120,Good
120,"All good, but im disappointed with camera. The normal camera is good but the 0.5x video and photo camera is so poor. Excluding that its a masterpiece"
120,Really worthy for money.... must buy option.
120,Good
120,Super phone
120,One of the best product. I bought two of them. Simply Awesome.
120,Awesome...I liked
120,Overall a good Phone and Good Camera Quality
120,Best product for this price
120,Speaker issue
120,Excellent gadget 👏
120,Two month useing this phone .but hanging problam in phone
120,"After using 2 months I write this review.
All things are good and performance are enhance more...after a new update 
Camera quality almost good
Battery life is also so long for normal user.
I really l..."
120,Good Mobile phone from 20k budget camera quality good and display smooth and android version 16 update in moto edge 60 fusion and everything ok phone
120,Fully waste of money...phone runs slowly..8 gb performed actually types of 4gb ram...video graphy verry poor quality...edge 40 n 50 better than edge 60 fusion n pro..totally useless phone...
120,Quality and preformed this phone
120,"Good performance, screen is super"
120,This phone has a major issue. It is restarting automatically and  hanging. Not recommended
120,Good
120,Ultimate Design
120,More efficient
120,Nice phone
120,Good product
120,battery backup not god
120,Good
120,Nice phone.
120,Battery draining very fast
120,Awesome
120,"The phone is a complete package of everything, good camera, looks , user experience."
120,Ok
120,Best
120,Best camera quality
120,So nice all rundar phene
120,Nice phone with great internal memory. Nice camera too
120,Best phone best price
120,"Initially phone performance is fine 

Actually main output will be deliver in some months"
120,Very bad product waste of money Hanging problem 😞 phone
120,Outstanding
120,Budget friendly mobile
120,Good mobile
120,Ok
120,Ex
150,Good product
150,Awesome mobile
150,Nice one
150,Under 20k prize best phone 👍
150,Cell phone is good Value for money
150,Hanging issue app malfunctioning..
150,Just WOW...😍😍
150,the device is not working.
150,Everything is good but one issue 🥲 in this fon battery drain fast
150,Moto phone is very super'b
150,Nice product
150,Super
150,"Recommand not to buy🥹

Mobile is hanging even in normal use🥴


Review after used 1 month.
Performance is not better as per price.
Phone is lagging even normal use.
Don't use app lock for default goo..."
150,The phone was on and off itself..and apps were not working...closing automatically...
150,Good
150,Over hit phone very bad qualitay
150,Ok ok
150,"I am giving review after using 2 months 
Phone hangs, call drop issue, automatically switch off issue
Dont huy this phone
Camera not working property"
150,"Happy With Motorola. This year Diwali 🎇 special. I buy... 
Worth For given Amount. Super"
150,Good
150,all  is well 👍
150,The display was very good and the camera is also up to the mark phone performance is quite good for daily use and the design is sleek but the camera bump is not good It feels very uncomfortable when t...
150,"Camera quality is enhanced by moto ai design is excellent but battery are disappeared to me and also software have been slow working but overall I love it by camera, display, design and spacker"
150,"Very nice product this price range 
Very useful Motorola mobiles 
Thank you Motorola 
Value for money."
150,Good
150,Not much better
150,Good pro
150,Some time sound problem faced
150,Outstanding
150,Amazing camera
150,Phone to slow someone already used these mobile may be it not good
150,Value for money 💰
150,Lovely phone nice camra.
150,Good
150,"Not good as expected, not worth the money"
150,I am very happy with this phone....
150,This is best phone 20k under
150,Awsome
150,Sim not detecting
150,"Bad , experience , Hang issues not solved. 
Flipkart support not satisfied."
