days,content,cleaned_review
90,"This product is good for its price, but I think it could have been a little better. I've been using it for a month now, but everything else is fine, but it does hang occasionally. Other than that, I h...",this product is good for its price but i think it could have been a little better i ve been using it for a month now but everything else is fine but it does hang occasionally other than that i h
120,It's just a 2 days old phone and I can clearly see lag in performance while performing any task. Other than the lagging issue the phone is ok.,it s just a 2 days old phone and i can clearly see lag in performance while performing any task other than the lagging issue the phone is ok
150,Decent phone in the price range,decent phone in the price range
150,"Good but battery not good
Camera  exited",good but battery not good camera exited
150,This product will be very useful and that will be comfortable for this bud,this product will be very useful and that will be comfortable for this bud
150,"Its design is very good and it is very slim, its camera is also the best but the battery is not that good.",its design is very good and it is very slim its camera is also the best but the battery is not that good
150,Good product  camera and photo pic's and camera is good,good product camera and photo pic s and camera is good
150,"Phone is awesome but software need more optimised, sometime third party application not working properly, even sometimes what's app doesn't work 😳",phone is awesome but software need more optimised sometime third party application not working properly even sometimes what s app doesn t work
150,Lovely,lovely
150,Everything is good about this phone expect my experience with the camera Quality is not up to the mark .......as before buying it I have lot of hope with the camera quality as one of my friends bought...,everything is good about this phone expect my experience with the camera quality is not up to the mark as before buying it i have lot of hope with the camera quality as one of my friends bought
150,"Axcept camera, overall good, some lagg on opening camera",axcept camera overall good some lagg on opening camera
150,Good cam,good cam
150,Most beautiful slim phone,most beautiful slim phone
150,Overall the product is good but heating while charging,overall the product is good but heating while charging
150,Very nice product,very nice product
180,For This Price . Overall Nice 👍,for this price overall nice
180,Very good 👍,very good
180,"Phone design and display and camera are very nice and decent battery backup and doing multiple operations at a time little bit hanging.
Overall good 👍",phone design and display and camera are very nice and decent battery backup and doing multiple operations at a time little bit hanging overall good
180,Good,good
180,Perfect combination of performance,perfect combination of performance
210,Otg note working,otg note working
210,"Camera is good specially in light, battery normal, and display is top notch, overall good phone",camera is good specially in light battery normal and display is top notch overall good phone
210,Best phone under 20k budget you can buy it.,best phone under 20k budget you can buy it
210,Camera quality too good 😊💫,camera quality too good
210,Nice fone,nice fone
210,Update Policy Could be better late update and Camera needs improvement Faces many glitch,update policy could be better late update and camera needs improvement faces many glitch
210,"Review after 1 month use:-

1. Camera quality is okay 
2.Battery life is Excellent: (Drain little bit faster when hotspot is On)
3. Display: Excellent 
4.Design: Excellent (back vegan leather design l...",review after 1 month use 1 camera quality is okay 2 battery life is excellent drain little bit faster when hotspot is on 3 display excellent 4 design excellent back vegan leather design l
210,Very nice product,very nice product
210,"Operating software and layout is bit wierd while using..
Otherwise a fantastic phone with good camera and long battery with solid performance.",operating software and layout is bit wierd while using otherwise a fantastic phone with good camera and long battery with solid performance
210,Good,good
240,Camera performance as I accepted,camera performance as i accepted
240,Good phone by motorola and motorola disappoint was a update service,good phone by motorola and motorola disappoint was a update service
240,Overall good mobile in this price,overall good mobile in this price
270,Good quality phone,good quality phone
270,"pros -
excellent display 
very good battery life
clean UI
no bloatwares
decent camera
good looks
water resistance 

cons -
low light camera performance poor
few bugs in UI
call recording announcement ...",excellent display very good battery life clean ui no bloatwares decent camera good looks water resistance low light camera performance poor few bugs in ui call recording announcement
270,"Ok...ish
The curve edges sometimes doesn't register the touches.
Buy only if u have bank offers...",ok ish the curve edges sometimes doesn t register the touches buy only if u have bank offers
270,"I bought moto edge fusion 60.best in budget mobile, sleek design,smooth performance and better camera",i bought moto edge fusion 60 best in budget mobile sleek design smooth performance and better camera
270,Good Device. Moto Have to Improve Fit and Finish. Other than that a good phone. Back Camera Good. Need To Improve Front Camera.,good device moto have to improve fit and finish other than that a good phone back camera good need to improve front camera
270,Nice phone,nice phone
270,At this price it's absolutely powerful and good,at this price it s absolutely powerful and good
270,Nice performance,nice performance
270,"Writing this review just after 24 hrs of usage.
Camera, picture, video experience is awesome, and the battery back up is good.
Cons observed, very slow charging even with 65w charger, call loudspeaker...",writing this review just after 24 hrs of usage camera picture video experience is awesome and the battery back up is good observed very slow charging even with 65w charger call loudspeaker
270,Superb,superb
270,After using it for almost a month i can say it gets heated up while using it continuously. I am using it with an armour back cover which may be a reason. However while charging it also gets heated. Ot...,after using it for almost a month i can say it gets heated up while using it continuously i am using it with an armour back cover which may be a reason however while charging it also gets heated ot
270,Phone is excellent..! Specially camera of the phone is amazing..! But one thing which I didn't like that phone doesn't have it's own Gallery🥴...!,phone is excellent specially camera of the phone is amazing but one thing which i didn t like that phone doesn t have it s own gallery
270,display and camera awsome...but motorola improves wegan lather to glass on back side..and here in the box cover is not available on this model,display and camera awsome but motorola improves wegan lather to glass on back side and here in the box cover is not available on this model
270,"Good screen clearty ,good  performance and awesome phone",good screen clearty good performance and awesome phone
300,Good phone at this price,good phone at this price
300,Value for money 💰,value for money
300,Everything is very good but one case in the box must be needed,everything is very good but one case in the box must be needed
330,everything perfect,everything perfect
330,Display is to good good but some time android 15 lac but performance is to good I think this issue fixed in software update.,display is to good good but some time android 15 lac but performance is to good i think this issue fixed in software update
330,Fantastic disign 😍😊,fantastic disign
330,Valuable cost for good product,valuable cost for good product
330,"Satisfied, working very well, delivered with good condition",satisfied working very well delivered with good condition
330,"One of the Best Phone in the segment!!
Design is good , very good camera and brilliant performance",one of the best phone in the segment design is good very good camera and brilliant performance
330,Good the phone camera is the best 😀💘,good the phone camera is the best
330,"Well improved performance is seen in this phone, as im already a user of Motorola 😊, happy with this product👍🏻😊❤️, go on with this product without any worry👍🏻",well improved performance is seen in this phone as im already a user of motorola happy with this product go on with this product without any worry
330,"Mobile is very good
Display fantastic 
Battery very good
Camera excellent 
Performance good, it can handle games but not for gamers
Ui is having some lags they may fix soon.
This is very good phone fo...",mobile is very good display fantastic battery very good camera excellent performance good it can handle games but not for gamers ui is having some lags they may fix soon this is very good phone fo
150,I bought it for my DAD.He loved the mobile.I am satisfied to see a smile on his face thanks MOTO 😊,i bought it for my dad he loved the mobile i am satisfied to see a smile on his face thanks moto
180,Wonderful pce,wonderful pce
180,Red line appeared just in one week after purchasing.,red line appeared just in one week after purchasing
240,Super performance camra and bettry 👍😊,super performance camra and bettry
270,"This phone is excellent,Top class performances, stylish and very slim design, fantastic high resolution display even in Day light, powerful battery and super fast quick charging,tough, durable and  ve...",this phone is excellent top class performances stylish and very slim design fantastic high resolution display even in day light powerful battery and super fast quick charging tough durable and ve
270,"The phone in terms of everything is a solid one and also all rounder. The design, performance and camera are very good and the display is one the best along side dual stereo speakers with support for ...",the phone in terms of everything is a solid one and also all rounder the design performance and camera are very good and the display is one the best along side dual stereo speakers with support for
270,The phone is very good  works well in all performance ❤️❤️✅,the phone is very good works well in all performance
270,Super quality na Tiruppur tamilnadu worthana mobile indha panadhukku yellarum vaangunga 🥰,super quality na tiruppur tamilnadu worthana mobile indha panadhukku yellarum vaangunga
270,Amazing Product.,amazing product
300,"Value for money phone in this price segment.
Pros
1. Good display for multimedia.
2. Battery backup is good.
3. Camera quality is also good.
Cons:
No back Cover.
No tempered for screen protection.
UFS...",value for money phone in this price segment 1 good display for multimedia 2 battery backup is good 3 camera quality is also good no back cover no tempered for screen protection ufs
300,So very happy,so very happy
330,"Beautiful Mobile
Camera Quality Awsmm
Battery Backup Very Good",beautiful mobile camera quality awsmm battery backup very good
330,Allrounder phone with good camera in this price range.No over processing no over sharpening. I am in love with this beast.,allrounder phone with good camera in this price range no over processing no over sharpening i am in love with this beast
330,Good product.,good product
330,Best budgets phone,best budgets phone
330,"10 out of 5...just incredible at this range of price, beated almost every phone of this range of segment in all perspective. I really appreciate, Cheers Motorola.",10 out of 5 just incredible at this range of price beated almost every phone of this range of segment in all perspective i really appreciate cheers motorola
330,When it comes to look moto just kill the compilation.panton validation is not for advertisement it's actually seen in real life . Superb display n outdoor visibility is crystal clear.overall a balance...,when it comes to look moto just kill the compilation panton validation is not for advertisement it s actually seen in real life superb display n outdoor visibility is crystal clear overall a balance
330,"Slim,look design and good performance",slim look design and good performance
6,"The moto edge 60 fusion genuine review 

1. camera quality decent 
2. display too good.
3. battery 🔋 up to the mark for daily use 
4. performance super.
5. too light weight and handy for routine work...",the moto edge 60 fusion genuine review 1 camera quality decent 2 display too good 3 battery up to the mark for daily use 4 performance super 5 too light weight and handy for routine work
16,Ty to flipkart,ty to flipkart
17,Star,star
18,I must to be should advise to purchase this phone under 20 thousand because no any one phone is equal to this phone . Yes I also hear the most video for their bad comments and bad reviews but when I p...,i must to be should advise to purchase this phone under 20 thousand because no any one phone is equal to this phone yes i also hear the most video for their bad comments and bad reviews but when i p
23,Perfect for normal user,perfect for normal user
28,Osm,osm
29,"Overall best product at this price, best camera best battery backup and fast charging also and the display was also good , Performance is Mind-blowing, those who want a good camera and a good battery ...",overall best product at this price best camera best battery backup and fast charging also and the display was also good performance is mind blowing those who want a good camera and a good battery
30,Nice but ok not best in this segment....,nice but ok not best in this segment
30,"Overall This is Amezing Mobile, There are Pros and Cons
Please Like If You Have any Information.
Pros,
1. Camera Quality In This Price Great 
2. Display Top Notch 10/10
3. Design Good at All
4. Dolby ...",overall this is amezing mobile there are and please like if you have any information 1 camera quality in this price great 2 display top notch 10 10 3 design good at all 4 dolby
30,"All good 👍 👍
Camera 5/5
Display 5/5
Design 5/5
Performance 5/5
Volume Thoda slow 3/5",all good camera 5 5 display 5 5 design 5 5 performance 5 5 volume thoda slow 3 5
30,"Very nice product 👍
Value for money",very nice product value for money
30,"It's been 6 months since I bought this phone. I bought this for my mom. Till now it's working fine and worth for money. Everything works fine. 

Note: Only recommended for parents who use it for media...",it s been 6 months since i bought this phone i bought this for my mom till now it s working fine and worth for money everything works fine note only recommended for parents who use it for media
30,Very good,very good
30,Fantastic 😍,fantastic
30,Good mobile 1 mahina use experience 🔥💯,good mobile 1 mahina use experience
30,Nice,nice
30,Nice pic,nice pic
60,Best in market under 18K,best in market under 18k
60,Had a good experience,had a good experience
60,Nice phone,nice phone
60,Nice moto phone 🤳,nice moto phone
60,Very nice,very nice
60,Best camera phone in this price range. Best battery 🪫 backup.,best camera phone in this price range best battery backup
60,beautiful looking Nd good Camara overall best at price range,beautiful looking nd good camara overall best at price range
60,Very light weight and look like beautifull..,very light weight and look like beautifull
60,Super premium quality while I take this mobile in my hand.  Very slim and looking like an infinity display.because  of quad curve edges. The camera is awesome compared to 35 k mobile. This one is good,super premium quality while i take this mobile in my hand very slim and looking like an infinity display because of quad curve edges the camera is awesome compared to 35 k mobile this one is good
60,"Superb. Color and design is outstanding.
Under sunlight, performance is good with no photographical camera hang.
Overall it's good experience.",superb color and design is outstanding under sunlight performance is good with no photographical camera hang overall it s good experience
60,"Very nice phone .. performance is good , battery backup is satisfactory for normal use.
Camera performance also very good . But sometimes touch doesn't response but this happens in once in a week . No...",very nice phone performance is good battery backup is satisfactory for normal use camera performance also very good but sometimes touch doesn t response but this happens in once in a week no
60,This phone is very good... It's a all rounder phone,this phone is very good it s a all rounder phone
90,Nice and perfect 👍,nice and perfect
90,I purchased this for my cousion Superb phone this is my 2nd edge 60 fusion phone,i purchased this for my cousion superb phone this is my 2nd edge 60 fusion phone
90,Camera is so good 👍,camera is so good
90,"Good phone with good specifications... Nice camera at this price .... The software is stock so it's clean.. 

No such useful AI features but we should not expect looking at the price...",good phone with good specifications nice camera at this price the software is stock so it s clean no such useful ai features but we should not expect looking at the price
90,The camera is better integrated with the chipset and has more power on clicks as compared to 60 pro.,the camera is better integrated with the chipset and has more power on clicks as compared to 60 pro
90,"Accessories are very low quality 
Because of that I have been facing problems for a long time.",accessories are very low quality because of that i have been facing problems for a long time
90,"The best phone I've ever used. No lag no heating issue...flawless running and secured with latest patches updates.
Thanks moto",the best phone i ve ever used no lag no heating issue flawless running and secured with latest patches updates thanks moto
120,Nice pic of cam,nice pic of cam
120,Gd,gd
150,"As i have using it for the last 1 month, the phone is perfect for the price range. And over all performance is better to other brand mobiles in this segment",as i have using it for the last 1 month the phone is perfect for the price range and over all performance is better to other brand mobiles in this segment
150,Amazing,amazing
150,After using 2 month it's feel good mobile and software camera nice display and battery capacity awasome....charge time little bit late but after charging use 2 days nice phone worth for money,after using 2 month it s feel good mobile and software camera nice display and battery capacity awasome charge time little bit late but after charging use 2 days nice phone worth for money
150,Very very good 👍 and nice 🙂🙂,very very good and nice
150,Best Phone in Budget. Go ahead with Moto,best phone in budget go ahead with moto
150,Good 👍,good
150,Super camera 📸 best battery 1  1/5 Day superb display,super camera best battery 1 1 5 day superb display
150,Best phone . Best feature. Camera quality is excellent.,best phone best feature camera quality is excellent
150,Best phone under 20k ..... Leave realme p4 pro ..... Buy this!,best phone under 20k leave realme p4 pro buy this
150,Good phone,good phone
150,Very nice,very nice
150,All Good But Performance slightly slower for gaming people,all good but performance slightly slower for gaming people
150,Semma mobile,semma mobile
150,Amazing . I am happy with this mobile,amazing i am happy with this mobile
150,The design is very good even with a slim phone. The rear camera is good but the front can be better if they work more on it and overall performance is good but the screen guard for the curved display ...,the design is very good even with a slim phone the rear camera is good but the front can be better if they work more on it and overall performance is good but the screen guard for the curved display
150,Best in the segment,best in the segment
150,"All good 👍😊 
Brilliant camera,performance and battery life, charging speed is faster. 
But Display brightness are outer for seen average",all good brilliant camera performance and battery life charging speed is faster but display brightness are outer for seen average
150,Super phone my wife was so happy,super phone my wife was so happy
150,Very good phone 🤘🤙,very good phone
150,Excellent,excellent
150,Under 20k wonderful mobile,under 20k wonderful mobile
150,Best mobile on this affordable price loved it ! ❤️🙌,best mobile on this affordable price loved it
150,"*Awesome phone!*  
Moto Edge 60 Fusion is very smooth and stylish. Display is super clear, phone is fast, and charging is very quick. Camera quality is good. Battery lasts well. Totally worth the pric...",awesome phone moto edge 60 fusion is very smooth and stylish display is super clear phone is fast and charging is very quick camera quality is good battery lasts well totally worth the pric
150,But back side cover and screen gud has given more ha,but back side cover and screen gud has given more ha
150,Good performance 👍,good performance
150,Good,good
150,Awesome 👍,awesome
150,Best all-rounder,best all rounder
150,Very nice,very nice
150,Overall fone is good. There is an fm radio app missing.,overall fone is good there is an fm radio app missing
150,"Overall a very good device performance wise.
Good processor.
Virtually expandable RAM.
Cameras are clear.

Just I wish Moto should make phones without curved display. It's not that amazing thing but a...",overall a very good device performance wise good processor virtually expandable ram cameras are clear just i wish moto should make phones without curved display it s not that amazing thing but a
150,Very nice,very nice
150,"Camera - 4.5/5 ( back camer)
               4/5 ( front camera)
Display - 5/5
Battery - 4/5
Design - 3.5/5
Overall a good budget phone 
Thankyou",camera 4 5 5 back camer 4 5 front camera display 5 5 battery 4 5 design 3 5 5 overall a good budget phone thankyou
180,"The great been using egde 60 fusion till now , it's been more the 2 month and it's definitely worth the investment , battery life is one of the main advantage .",the great been using egde 60 fusion till now it s been more the 2 month and it s definitely worth the investment battery life is one of the main advantage
180,Great phone,great phone
180,Thank you,thank you
180,original product,original product
180,Very good,very good
180,Besst mobile mustttt buyyyu,besst mobile mustttt buyyyu
180,This is q good product with adorable quality but could have been significantly improved,this is q good product with adorable quality but could have been significantly improved
180,Very good and nice,very good and nice
180,Good product in 19k,good product in 19k
180,Very amazing mobile phone under 23k,very amazing mobile phone under 23k
180,Design and performance is peak! Build quality is very admirable although we will be looking forward for new and better devices till now the current device we have is impressive.,design and performance is peak build quality is very admirable although we will be looking forward for new and better devices till now the current device we have is impressive
180,"Its a great deal to have ! Best ever phone from the house of Hello Moto !!!! Camera is doing lot more in this price segment. 

The curved screen male this device more premium.",its a great deal to have best ever phone from the house of hello moto camera is doing lot more in this price segment the curved screen male this device more premium
180,"Using this phone for 2 months now and quite satisfied with it
Display is superb 10/10
Battery is enough with 68w fast charging 10/10
Design is premium 10/10
UI is good 9/10
Camera 9/10",using this phone for 2 months now and quite satisfied with it display is superb 10 10 battery is enough with 68w fast charging 10 10 design is premium 10 10 ui is good 9 10 camera 9 10
180,So good and the camera quality is literally very good and it is going so smoothly it is so good i like it ihad rate it 5 ⭐⭐⭐⭐⭐,so good and the camera quality is literally very good and it is going so smoothly it is so good i like it ihad rate it 5
180,Using for two days. Feeling awesome..,using for two days feeling awesome
180,Very nice phone in this segments. The only problem is sometime it lag . Otherwise from every aspect it beats the competition.,very nice phone in this segments the only is sometime it lag otherwise from every aspect it beats the competition
180,"The phone is very good, especially its camera, just wow.",the phone is very good especially its camera just wow
180,Premium feeling in budget,premium feeling in budget
180,Nice one....,nice one
180,Very good product and a overall allrounder phone .But don't go for it because it quite weak phone,very good product and a overall allrounder phone but don t go for it because it quite weak phone
180,"Fantastic device, i loved it , everything is good in this device, but battery size should be bigger",fantastic device i loved it everything is good in this device but battery size should be bigger
180,Nice product,nice product
180,"value for money, good design, very premium in-hand feel overall a balanced smartphone",value for money good design very premium in hand feel overall a balanced smartphone
180,Superb product,superb product
180,Product is good problem is lag to open an application,product is good is lag to open an application
180,All good,all good
180,All are good and battery chargeing very fast and camera good but performance is little bit slow,all are good and battery chargeing very fast and camera good but performance is little bit slow
180,"Best mobile under 25k
Thanku Flipkart",best mobile under 25k thanku flipkart
180,Good phone and very fast delivered within 24 hours,good phone and very fast delivered within 24 hours
180,"One the best phone in this price range . No other mobile can compare with this one. I gift this one of my wife.
1.Camera Quality of the phone is phenomenal beautiful picture 5/5
2. Display looking and...",one the best phone in this price range no other mobile can compare with this one i gift this one of my wife 1 camera quality of the phone is phenomenal beautiful picture 5 5 2 display looking and
180,"I use this phone for my secondary phone and quality is brilliant 
Camera 10/10 
Performance 10/10 
Battery 10/10 
Display 08/10 
Heating playing pubg for 45 min and 
Charging speed se slow",i use this phone for my secondary phone and quality is brilliant camera 10 10 performance 10 10 battery 10 10 display 08 10 heating playing pubg for 45 min and charging speed se slow
180,Superb phone,superb phone
180,Best phone in this segment. camera is also amazing overall good experience with motorola,best phone in this segment camera is also amazing overall good experience with motorola
180,"Camera , display and body design are awesome and performance is also good for casual gaming.
Battery can also last whole day on full charge.",camera display and body design are awesome and performance is also good for casual gaming battery can also last whole day on full charge
180,Nice,nice
180,Good product oosam look good battery backup,good product oosam look good battery backup
210,"Nothing complaining, just the best phone in its segment. Moto is timely improving its design quality and customer's perception. Just a software fixes can help Moto to rule the market again.",nothing complaining just the best phone in its segment moto is timely improving its design quality and customer s perception just a software fixes can help moto to rule the market again
210,"Best camera, fast charging, super battery backup 
Motorola should include back cover in box this is the only one thing missing.",best camera fast charging super battery backup motorola should include back cover in box this is the only one thing missing
210,"You can't find any flaw in this phone
Display 10/10
Battery 9/10
Camera 9/10
Perfomance 9/10
Sound sterio spaker 10/10",you can t find any flaw in this phone display 10 10 battery 9 10 camera 9 10 perfomance 9 10 sound sterio spaker 10 10
210,Value for money product.,value for money product
210,Best under budget pho,best under budget pho
210,I am loving 🤩 it' superb camera,i am loving it superb camera
210,Vary nice phone thanks you Motorola and Flipkart,vary nice phone thanks you motorola and flipkart
210,Nice mobile,nice mobile
210,"Best phone in budget, camera good, performance food
Only battery hitting problem on charging time
Please solve this in update",best phone in budget camera good performance food only battery hitting on charging time please solve this in update
210,Very good Product 🥰🥰,very good product
210,Very good mobile 📱,very good mobile
210,Product very good great price in segment,product very good great price in segment
210,Great mobile. Everything is good except the sound volume.,great mobile everything is good except the sound volume
210,Awesome product from moto,awesome product from moto
210,The device is great and has nice ui experience.but some times the front camera resolution differs and the image while capturing is blurry but after the image is captured then it's great picture.over a...,the device is great and has nice ui experience but some times the front camera resolution differs and the image while capturing is blurry but after the image is captured then it s great picture over a
210,Value for money,value for money
210,Nice and attractive. Good camera. Needs to improve just the light handling if it comes directly in front of the camera. Phone is superb,nice and attractive good camera needs to improve just the light handling if it comes directly in front of the camera phone is superb
210,Nice mobile,nice mobile
210,Very good,very good
210,Very good super product,very good super product
210,I think it's best all rounder stylish phone around 20k,i think it s best all rounder stylish phone around 20k
210,"Nice design and display, with awesome camera and great experience with Dolby sound and amazing AI features and super battery performance and happy with 68 watt charging speed...overall best smartphone...",nice design and display with awesome camera and great experience with dolby sound and amazing ai features and super battery performance and happy with 68 watt charging speed overall best smartphone
210,This is a great phone with a good camera. I'm very happy with it.,this is a great phone with a good camera i m very happy with it
240,Good,good
240,Super lovely 😍,super lovely
240,Under 25000 best phone.,under 25000 best phone
240,"Best phone in 25k budget 
All good display immersive 
Love this phone 🤌🩷",best phone in 25k budget all good display immersive love this phone
240,"Very impressive phone, all over performance is very good, camera is also take very good picture, Moto AI features are very helpful, Thank you.",very impressive phone all over performance is very good camera is also take very good picture moto ai features are very helpful thank you
240,Excellent,excellent
240,Amazing camera quality worth for this budget...,amazing camera quality worth for this budget
240,Best,best
240,"Superb quality...
Superb dolby Atmos effect 
Camera is awesome 
Superb Device.....",superb quality superb dolby atmos effect camera is awesome superb device
240,Nice one !!,nice one
240,Brilliant phone osm display,brilliant phone osm display
240,"An absolute banger at this price range...
Undoubtedly awesome...
A mobile with almost perfect in everything..Camera, battery, durability, display, sound, design everything is top notch... In recent He...",an absolute banger at this price range undoubtedly awesome a mobile with almost perfect in everything camera battery durability display sound design everything is top notch in recent he
240,Best camera this price range best display top display,best camera this price range best display top display
240,"Camera quality is superb 
Battery life excellent 
Sound and screen quality is outstanding 
A must buy phone in this range 
Motorola always rocks",camera quality is superb battery life excellent sound and screen quality is outstanding a must buy phone in this range motorola always rocks
240,Totally Worth it 😌,totally worth it
240,"One of the best mobile for this price segment 
I am didn't play game in mobile - Value for money",one of the best mobile for this price segment i am didn t play game in mobile value for money
240,"Nice phone... Fast charging 👌, battery backup good👌, camera overall good, processor average 😌, no hitting problem 👍, not for gaming (bgmi)...",nice phone fast charging battery backup good camera overall good processor average no hitting not for gaming bgmi
240,Ok ok,ok ok
240,"Outstanding performance 😍😍
Very very nice 🙂",outstanding performance very very nice
240,Good phone. Value for money.,good phone value for money
240,Most valuable moto phone and good professor and over all good midel class,most valuable moto phone and good professor and over all good midel class
270,Mind-blowing camera,mind blowing camera
270,"Absolutely in love with the phone, 💯 worth it",absolutely in love with the phone worth it
270,"Review after a week👇

Display- 5/5 (Better than aMOLED, Pleasant to eye with color depth. The best experience while watching a movie, 10bit support boosts the movie experience in Netflix)
Camera- 4.5...",review after a week display 5 5 better than amoled pleasant to eye with color depth the best experience while watching a movie 10bit support boosts the movie experience in netflix camera 4 5
270,Excellent Display Quality.,excellent display quality
270,What a camera and the display colours are awesome absolutely go for it if you looking for a camera phone.,what a camera and the display colours are awesome absolutely go for it if you looking for a camera phone
270,Good bast mobile phone ❤️,good bast mobile phone
270,Mobile display is good,mobile display is good
270,Good best better mobile moto,good best better mobile moto
270,I love this phone,i love this phone
270,Value for money..nice Smart phone.. camara.. excellent  sound quality... Very good..specially display excellent performance .. Battery performance is not very good..but its ok.. slightly heating issue...,value for money nice smart phone camara excellent sound quality very good specially display excellent performance battery performance is not very good but its ok slightly heating issue
270,"Value for Money💵
Awesome Phone 📱 
Overall under 25000 budget Moto edge 60 fusion is extremely excellent 🔥
Camera =5/5📷
Performance=5/5
Display=5/5
Battery =4/5 🔋
I am very Happy with motorola 😍",value for money awesome phone overall under 25000 budget moto edge 60 fusion is extremely excellent camera 5 5 performance 5 5 display 5 5 battery 4 5 i am very happy with motorola
270,My brother loved it,my brother loved it
270,"Overall, the best in its price range. Display is excellent. Fast charging works fine. Watching movies on Netflix even without hdr is awesome. For multimedia users, this is undoubtedly the best choice.",overall the best in its price range display is excellent fast charging works fine watching movies on netflix even without hdr is awesome for multimedia users this is undoubtedly the best choice
270,Very nice and classy phone,very nice and classy phone
270,MOTOROLA EDGE 60 FUSION 5G IS SOO BEAUTIFUL,motorola edge 60 fusion 5g is soo beautiful
270,"Camera 9/10
Processor 8/10
Display 10/10
Battery backup 8/10
Over all 8.5/10
Feels good in hand, very slim, finger scanner should have been slightly higher, display is awesome, processor should have b...",camera 9 10 processor 8 10 display 10 10 battery backup 8 10 over all 8 5 10 feels good in hand very slim finger scanner should have been slightly higher display is awesome processor should have b
270,Better then samsung,better then samsung
270,Beautiful,beautiful
270,Good Mobile best price,good mobile best price
270,All good but front camera can be better..,all good but front camera can be better
270,Every thing is ok... Only heating issues.... Hope moto will do something in his next software update,every thing is ok only heating issues hope moto will do something in his next software update
270,"Excellent phone at this price point. You can buy this phone without thinking about any other phones. No heat issue, no battery issue, no performance issue. Everything is just awesome. 

Specifically I...",excellent phone at this price point you can buy this phone without thinking about any other phones no heat issue no battery issue no performance issue everything is just awesome specifically i
270,Super fast delivery and phone is very good,super fast delivery and phone is very good
270,Awesome 😎👍👍👍,awesome
270,Super and stylish design best price for buject,super and stylish design best price for buject
270,Just wow mobile 😍,just wow mobile
270,I like the weight of mobile which is very low. In hand feel very good.5g network is also very faster than other mobile I used. This is my first Moto mobile. Thank u motorola and flipkart for fast delivery.b,i like the weight of mobile which is very low in hand feel very good 5g network is also very faster than other mobile i used this is my first moto mobile thank u motorola and flipkart for fast delivery b
300,Phone is owsome,phone is owsome
300,Good,good
300,Thankyou moto @AJ,thankyou moto aj
300,everthing is good except performance. it can be better at this price range,everthing is good except performance it can be better at this price range
300,Very nice and,very nice and
300,superb allrounder mobile,superb allrounder mobile
300,Good camera,good camera
300,It's good product and value of money,it s good product and value of money
300,Over whelmed,over whelmed
300,Per,per
300,For this budget buy this phone,for this budget buy this phone
300,"Very good phone 
love moto 🤳👍",very good phone love moto
300,This Moto Edge 60 Fusion Have awesome features.and it's camera capture dslr like photos.,this moto edge 60 fusion have awesome features and it s camera capture dslr like photos
300,"Great phone, I was previously using Motorola which was purchased a couple of years back. I really appreciate the way Motorola innovated in these couple of years. I can see the difference in same price...",great phone i was previously using motorola which was purchased a couple of years back i really appreciate the way motorola innovated in these couple of years i can see the difference in same price
300,Best phone under the budget,best phone under the budget
300,Good amazing Phone,good amazing phone
300,Value for money,value for money
300,"Fantastic phone, I have ever seen. It really click DSLR like photos and have great zoom.",fantastic phone i have ever seen it really click dslr like photos and have great zoom
300,Awesome and worthy for money 😁😁😁😁💰💰💰💰💰💰,awesome and worthy for money
300,"Camera Good 
Battery Nice 
Display awesome 
Design awesome 
Performance nic",camera good battery nice display awesome design awesome performance nic
300,Good,good
300,This product is good,this product is good
300,"Just amazing phone on this price 
Joyful sound 
Camera quality is very good",just amazing phone on this price joyful sound camera quality is very good
300,Good,good
300,Awesome Phone,awesome phone
300,So sexy mobile 😀😍🤤,so sexy mobile
300,"It has everything but, if there were NFC and UFS 3.1, it woud be the best phone in this range.",it has everything but if there were nfc and ufs 3 1 it woud be the best phone in this range
300,"camera is very good.
comfortable to hold the phone in hand.",camera is very good comfortable to hold the phone in hand
300,Best,best
300,Powerful and camera centric phone 🙏🙏🙏👍👍👍👍💯💯💯💯💕💕💕💕💕💕💕💕,powerful and camera centric phone
300,Good Design also quick fast charging Camera quality is very super,good design also quick fast charging camera quality is very super
300,"Phone is super smooth, camera performance is quite good and captures well detailed photo. Moto AI feature is what make it distinct.",phone is super smooth camera performance is quite good and captures well detailed photo moto ai feature is what make it distinct
300,"Amazing phone, camera, display, ai everything is top notch",amazing phone camera display ai everything is top notch
300,Excellent brilliant super beautiful performance and bhot acha phn hai very nyc look 💞💞💞💞,excellent brilliant super beautiful performance and bhot acha phn hai very nyc look
300,super duper in this segment,super duper in this segment
300,"Brilliant display, immersive video watching experience. Very good speakers. 
Looks extremely premium with very good cameras. 

Overall very happy with the purchase!!",brilliant display immersive video watching experience very good speakers looks extremely premium with very good cameras overall very happy with the purchase
300,Best Budget Segment Mobile 📱,best budget segment mobile
300,Just Awesome 💞💞,just awesome
300,Nice product thanks flipkart camara design was 👍 nice vera level camara curved display 1.5 k resolution ultimate media constipation is nice,nice product thanks flipkart camara design was nice vera level camara curved display 1 5 k resolution ultimate media constipation is nice
300,For the Price range I would say Just go for it!,for the price range i would say just go for it
300,Great mobile for this price range. Display quality is soo good like premium. Camera quality also good. Worth for the money you had spend,great mobile for this price range display quality is soo good like premium camera quality also good worth for the money you had spend
300,Very good phone 📱 very good features,very good phone very good features
