days,content,sentiment,summary
150,This product will be very useful and that will be comfortable for this bud,Pos,Very useful and comfortable.
150,"Its design is very good and it is very slim, its camera is also the best but the battery is not that good.",Neg,"Good design and camera, but battery is not good."
150,Good product  camera and photo pic's and camera is good,Pos,"Good product, camera and photo quality is good."
150,"Phone is awesome but software need more optimised, sometime third party application not working properly, even sometimes what's app doesn't work 😳",Neg,"Awesome phone, but software needs optimization, third-party apps not working properly."
150,Lovely,Pos,Lovely.
150,Everything is good about this phone expect my experience with the camera Quality is not up to the mark .......as before buying it I have lot of hope with the camera quality as one of my friends bought...,Neg,"Phone is good overall, but camera quality is disappointing."
150,"Axcept camera, overall good, some lagg on opening camera",Neg,Overall good except camera and some lag when opening camera.
150,Good cam,Pos,Good camera.
150,Most beautiful slim phone,Pos,Most beautiful slim phone.
150,Overall the product is good but heating while charging,Neg,Product is good overall but heats up while charging.
150,Very nice product,Pos,Very nice product.
180,For This Price . Overall Nice 👍,Pos,Overall nice for the price.
180,Very good 👍,Pos,Very good.
180,"Phone design and display and camera are very nice and decent battery backup and doing multiple operations at a time little bit hanging.
Overall good 👍",Pos,"Good design, display, camera, decent battery, slight hanging, overall good."
180,Good,Pos,Good.
180,Perfect combination of performance,Pos,Perfect combination of performance.
210,Otg note working,Neg,OTG not working.
210,"Camera is good specially in light, battery normal, and display is top notch, overall good phone",Pos,"Good camera in light, normal battery, top notch display, overall good."
210,Best phone under 20k budget you can buy it.,Pos,Best phone under 20k budget.
210,Camera quality too good 😊💫,Pos,Camera quality too good.
210,Nice fone,Pos,Nice phone.
210,Update Policy Could be better late update and Camera needs improvement Faces many glitch,Neg,Update policy is late and camera needs improvement with glitches.
210,"Review after 1 month use:-

1. Camera quality is okay 
2.Battery life is Excellent: (Drain little bit faster when hotspot is On)
3. Display: Excellent 
4.Design: Excellent (back vegan leather design l...",Pos,"Camera okay, battery excellent, display excellent, design excellent."
210,Very nice product,Pos,Very nice product.
210,"Operating software and layout is bit wierd while using..
Otherwise a fantastic phone with good camera and long battery with solid performance.",Pos,"Software is weird but otherwise fantastic phone with good camera, battery, and performance."
210,Good,Pos,Good.
240,Camera performance as I accepted,Pos,Camera performance as expected.
240,Good phone by motorola and motorola disappoint was a update service,Neg,Good phone but disappointed with update service.
240,Overall good mobile in this price,Pos,Overall good mobile in this price.
270,Good quality phone,Pos,Good quality phone.
270,"pros -
excellent display 
very good battery life
clean UI
no bloatwares
decent camera
good looks
water resistance 

cons -
low light camera performance poor
few bugs in UI
call recording announcement ...",Pos,"Excellent display, good battery, clean UI, decent camera, poor low light camera, some bugs."
270,"Ok...ish
The curve edges sometimes doesn't register the touches.
Buy only if u have bank offers...",Neg,"Okay-ish, curve edges have touch issues, buy only with bank offers."
270,"I bought moto edge fusion 60.best in budget mobile, sleek design,smooth performance and better camera",Pos,"Best in budget, sleek design, smooth performance, better camera."
270,Good Device. Moto Have to Improve Fit and Finish. Other than that a good phone. Back Camera Good. Need To Improve Front Camera.,Pos,"Good device, needs improvement in fit and finish, good back camera, needs front camera improvement."
270,Nice phone,Pos,Nice phone.
270,At this price it's absolutely powerful and good,Pos,Absolutely powerful and good at this price.
270,Nice performance,Pos,Nice performance.
270,"Writing this review just after 24 hrs of usage.
Camera, picture, video experience is awesome, and the battery back up is good.
Cons observed, very slow charging even with 65w charger, call loudspeaker...",Pos,"Awesome camera experience, good battery, slow charging."
270,Superb,Pos,Superb.
270,After using it for almost a month i can say it gets heated up while using it continuously. I am using it with an armour back cover which may be a reason. However while charging it also gets heated. Ot...,Neg,Gets heated up while using continuously and while charging.
270,Phone is excellent..! Specially camera of the phone is amazing..! But one thing which I didn't like that phone doesn't have it's own Gallery🥴...!,Neg,"Excellent phone, especially the camera, but lacks its own gallery."
270,display and camera awsome...but motorola improves wegan lather to glass on back side..and here in the box cover is not available on this model,Neg,"Awesome display and camera, but Motorola should improve the back and the box cover is missing."
270,"Good screen clearty ,good  performance and awesome phone",Pos,"Good screen clarity, good performance, and awesome phone."
300,Good phone at this price,Pos,Good phone at this price.
300,Value for money 💰,Pos,Value for money.
300,Everything is very good but one case in the box must be needed,Neg,"Everything is very good, but a case in the box is needed."
330,everything perfect,Pos,Everything perfect.
330,Display is to good good but some time android 15 lac but performance is to good I think this issue fixed in software update.,Neg,"Display is good, but some Android 15 lag; performance is good, hoping for a software fix."
330,Fantastic disign 😍😊,Pos,Fantastic design.
330,Valuable cost for good product,Pos,Valuable cost for good product.
330,"Satisfied, working very well, delivered with good condition",Pos,"Satisfied, working very well, delivered in good condition."
330,"One of the Best Phone in the segment!!
Design is good , very good camera and brilliant performance",Pos,"One of the best phones in the segment, good design, very good camera, and brilliant performance."
330,Good the phone camera is the best 😀💘,Pos,"Good phone, the camera is the best."
330,"Well improved performance is seen in this phone, as im already a user of Motorola 😊, happy with this product👍🏻😊❤️, go on with this product without any worry👍🏻",Pos,"Improved performance, happy Motorola user, recommends without worry."
330,"Mobile is very good
Display fantastic 
Battery very good
Camera excellent 
Performance good, it can handle games but not for gamers
Ui is having some lags they may fix soon.
This is very good phone fo...",Neg,"Mobile is very good, but UI has lags that need fixing."
150,I bought it for my DAD.He loved the mobile.I am satisfied to see a smile on his face thanks MOTO 😊,Pos,"Bought for dad, he loved it, satisfied."
180,Wonderful pce,Pos,Wonderful pce.
180,Red line appeared just in one week after purchasing.,Neg,Red line appeared one week after purchasing.
240,Super performance camra and bettry 👍😊,Pos,Super performance camera and battery.
270,"This phone is excellent,Top class performances, stylish and very slim design, fantastic high resolution display even in Day light, powerful battery and super fast quick charging,tough, durable and  ve...",Pos,"Excellent phone with top-class performance, stylish design, fantastic display, powerful battery, and quick charging."
270,"The phone in terms of everything is a solid one and also all rounder. The design, performance and camera are very good and the display is one the best along side dual stereo speakers with support for ...",Pos,"Solid all-rounder phone with very good design, performance, camera, and excellent display and speakers."
270,The phone is very good  works well in all performance ❤️❤️✅,Pos,The phone is very good and works well in all performance.
270,Super quality na Tiruppur tamilnadu worthana mobile indha panadhukku yellarum vaangunga 🥰,Pos,"Super quality, worth the money, everyone should buy it."
270,Amazing Product.,Pos,Amazing product.
300,"Value for money phone in this price segment.
Pros
1. Good display for multimedia.
2. Battery backup is good.
3. Camera quality is also good.
Cons:
No back Cover.
No tempered for screen protection.
UFS...",Neg,"Value for money, good display, battery, and camera, but no back cover or screen protector."
300,So very happy,Pos,So very happy.
330,"Beautiful Mobile
Camera Quality Awsmm
Battery Backup Very Good",Pos,"Beautiful mobile, awesome camera quality, very good battery backup."
330,Allrounder phone with good camera in this price range.No over processing no over sharpening. I am in love with this beast.,Pos,"All-rounder phone with good camera, no over-processing, loves the phone."
330,Good product.,Pos,Good product.
330,Best budgets phone,Pos,Best budget phone.
330,"10 out of 5...just incredible at this range of price, beated almost every phone of this range of segment in all perspective. I really appreciate, Cheers Motorola.",Pos,"Incredible at this price range, beats almost every phone in the segment."
330,When it comes to look moto just kill the compilation.panton validation is not for advertisement it's actually seen in real life . Superb display n outdoor visibility is crystal clear.overall a balance...,Pos,"Superb display and outdoor visibility, overall a balanced phone."
330,"Slim,look design and good performance",Pos,Slim look design and good performance.
6,"The moto edge 60 fusion genuine review 

1. camera quality decent 
2. display too good.
3. battery 🔋 up to the mark for daily use 
4. performance super.
5. too light weight and handy for routine work...",Pos,"Decent camera, good display, good battery, super performance, lightweight."
16,Ty to flipkart,Pos,Thanks to Flipkart.
17,Star,Pos,Star.
18,I must to be should advise to purchase this phone under 20 thousand because no any one phone is equal to this phone . Yes I also hear the most video for their bad comments and bad reviews but when I p...,Pos,"Advises purchasing this phone under 20k, better than others despite bad comments."
23,Perfect for normal user,Pos,Perfect for normal user.
28,Osm,Pos,Osm.
29,"Overall best product at this price, best camera best battery backup and fast charging also and the display was also good , Performance is Mind-blowing, those who want a good camera and a good battery ...",Pos,"Best product at this price, best camera, battery, fast charging, good display, mind-blowing performance."
30,Nice but ok not best in this segment....,Neg,"Nice but ok, not the best in this segment."
30,"Overall This is Amezing Mobile, There are Pros and Cons
Please Like If You Have any Information.
Pros,
1. Camera Quality In This Price Great 
2. Display Top Notch 10/10
3. Design Good at All
4. Dolby ...",Pos,"Amazing mobile with great camera, top-notch display, and good design."
30,"All good 👍 👍
Camera 5/5
Display 5/5
Design 5/5
Performance 5/5
Volume Thoda slow 3/5",Pos,"All good: camera, display, design, performance, volume is a bit slow."
30,"Very nice product 👍
Value for money",Pos,"Very nice product, value for money."
30,"It's been 6 months since I bought this phone. I bought this for my mom. Till now it's working fine and worth for money. Everything works fine. 

Note: Only recommended for parents who use it for media...",Pos,"Working fine for 6 months, worth the money, recommended for parents using it for media."
30,Very good,Pos,Very good.
30,Fantastic 😍,Pos,Fantastic.
30,Good mobile 1 mahina use experience 🔥💯,Pos,"Good mobile, 1 month use experience."
30,Nice,Pos,Nice.
30,Nice pic,Pos,Nice pic.
60,Best in market under 18K,Pos,Best in market under 18k.
60,Had a good experience,Pos,Had a good experience.
60,Nice phone,Pos,Nice phone.
60,Nice moto phone 🤳,Pos,Nice moto phone.
60,Very nice,Pos,Very nice.
60,Best camera phone in this price range. Best battery 🪫 backup.,Pos,"Best camera phone in this price range, best battery backup."
60,beautiful looking Nd good Camara overall best at price range,Pos,"Beautiful looking and good camera, overall best at price range."
60,Very light weight and look like beautifull..,Pos,Very light weight and look beautiful.
60,Super premium quality while I take this mobile in my hand.  Very slim and looking like an infinity display.because  of quad curve edges. The camera is awesome compared to 35 k mobile. This one is good,Pos,"Super premium quality, slim, infinity display, awesome camera compared to 35k mobiles."
60,"Superb. Color and design is outstanding.
Under sunlight, performance is good with no photographical camera hang.
Overall it's good experience.",Pos,"Superb color and outstanding design, good sunlight performance, no camera hang."
60,"Very nice phone .. performance is good , battery backup is satisfactory for normal use.
Camera performance also very good . But sometimes touch doesn't response but this happens in once in a week . No...",Pos,"Very nice phone, good performance and battery, very good camera, occasional touch issue."
60,This phone is very good... It's a all rounder phone,Pos,"This phone is very good, it's an all-rounder."
90,Nice and perfect 👍,Pos,Nice and perfect.
90,I purchased this for my cousion Superb phone this is my 2nd edge 60 fusion phone,Pos,"Purchased for cousin, superb phone, second Edge 60 Fusion."
90,Camera is so good 👍,Pos,Camera is so good.
90,"Good phone with good specifications... Nice camera at this price .... The software is stock so it's clean.. 

No such useful AI features but we should not expect looking at the price...",Pos,"Good phone with good specs, nice camera, stock software, lacks AI features expected at this price."
90,The camera is better integrated with the chipset and has more power on clicks as compared to 60 pro.,Pos,Camera better integrated and more powerful than 60 Pro.
90,"Accessories are very low quality 
Because of that I have been facing problems for a long time.",Neg,Accessories are low quality causing problems.
90,"The best phone I've ever used. No lag no heating issue...flawless running and secured with latest patches updates.
Thanks moto",Pos,"Best phone ever, no lag, no heating, flawless, secure with updates."
120,Nice pic of cam,Pos,Nice pic of cam.
120,Gd,Pos,Gd.
150,"As i have using it for the last 1 month, the phone is perfect for the price range. And over all performance is better to other brand mobiles in this segment",Pos,"Perfect for the price range, better performance than other brands."
150,Amazing,Pos,Amazing.
150,After using 2 month it's feel good mobile and software camera nice display and battery capacity awasome....charge time little bit late but after charging use 2 days nice phone worth for money,Pos,"Feels good, nice software, camera, display, awesome battery, slow charge, worth the money."
150,Very very good 👍 and nice 🙂🙂,Pos,Very very good and nice.
150,Best Phone in Budget. Go ahead with Moto,Pos,"Best phone in budget, go ahead with moto."
150,Good 👍,Pos,Good.
150,Super camera 📸 best battery 1  1/5 Day superb display,Pos,"Super camera, best battery, superb display."
150,Best phone . Best feature. Camera quality is excellent.,Pos,"Best phone, best feature, excellent camera quality."
150,Best phone under 20k ..... Leave realme p4 pro ..... Buy this!,Pos,"Best phone under 20k, buy this instead of Realme P4 Pro."
150,Good phone,Pos,Good phone.
150,Very nice,Pos,Very nice.
150,All Good But Performance slightly slower for gaming people,Neg,All good but performance slightly slower for gaming.
150,Semma mobile,Pos,Semma mobile.
150,Amazing . I am happy with this mobile,Pos,"Amazing, happy with this mobile."
150,The design is very good even with a slim phone. The rear camera is good but the front can be better if they work more on it and overall performance is good but the screen guard for the curved display ...,Pos,"Good design, rear camera good, front camera could be better, good performance, screen guard issue."
150,Best in the segment,Pos,Best in the segment.
150,"All good 👍😊 
Brilliant camera,performance and battery life, charging speed is faster. 
But Display brightness are outer for seen average",Pos,"All good, brilliant camera and battery, fast charging, average display brightness outdoors."
150,Super phone my wife was so happy,Pos,"Super phone, wife was so happy."
150,Very good phone 🤘🤙,Pos,Very good phone.
150,Excellent,Pos,Excellent.
150,Under 20k wonderful mobile,Pos,Under 20k wonderful mobile.
150,Best mobile on this affordable price loved it ! ❤️🙌,Pos,"Best mobile on this affordable price, loved it."
150,"*Awesome phone!*  
Moto Edge 60 Fusion is very smooth and stylish. Display is super clear, phone is fast, and charging is very quick. Camera quality is good. Battery lasts well. Totally worth the pric...",Pos,"Awesome phone, smooth, stylish, clear display, fast, quick charging, good camera, good battery, worth the price."
150,But back side cover and screen gud has given more ha,Neg,Back side cover and screen guard has given more ha.
150,Good performance 👍,Pos,Good performance.
150,Good,Pos,Good.
150,Awesome 👍,Pos,Awesome.
150,Best all-rounder,Pos,Best all rounder.
150,Very nice,Pos,Very nice.
150,Overall fone is good. There is an fm radio app missing.,Neg,"Overall good phone, missing FM radio app."
150,"Overall a very good device performance wise.
Good processor.
Virtually expandable RAM.
Cameras are clear.

Just I wish Moto should make phones without curved display. It's not that amazing thing but a...",Pos,"Good device with clear cameras and expandable RAM, but prefers non-curved displays."
150,Very nice,Pos,Very nice.
150,"Camera - 4.5/5 ( back camer)
               4/5 ( front camera)
Display - 5/5
Battery - 4/5
Design - 3.5/5
Overall a good budget phone 
Thankyou",Pos,"Good budget phone with positive ratings for camera, display, and battery."
180,"The great been using egde 60 fusion till now , it's been more the 2 month and it's definitely worth the investment , battery life is one of the main advantage .",Pos,"Great phone, Edge 60 Fusion worth the investment, especially for battery life."
180,Great phone,Pos,Great phone.
180,Thank you,Pos,Thank you.
180,original product,Pos,Original product.
180,Very good,Pos,Very good.
180,Besst mobile mustttt buyyyu,Pos,"Best mobile, must buy."
180,This is q good product with adorable quality but could have been significantly improved,Pos,"Good product with adorable quality, but could be improved."
180,Very good and nice,Pos,Very good and nice.
180,Good product in 19k,Pos,Good product for 19k.
180,Very amazing mobile phone under 23k,Pos,Very amazing mobile phone under 23k.
180,Design and performance is peak! Build quality is very admirable although we will be looking forward for new and better devices till now the current device we have is impressive.,Pos,"Design and performance are peak, build quality is admirable, looking forward to future devices."
180,"Its a great deal to have ! Best ever phone from the house of Hello Moto !!!! Camera is doing lot more in this price segment. 

The curved screen male this device more premium.",Pos,Great phone with good camera and premium curved screen.
180,"Using this phone for 2 months now and quite satisfied with it
Display is superb 10/10
Battery is enough with 68w fast charging 10/10
Design is premium 10/10
UI is good 9/10
Camera 9/10",Pos,"Satisfied with the phone's display, battery, design, UI, and camera."
180,So good and the camera quality is literally very good and it is going so smoothly it is so good i like it ihad rate it 5 ⭐⭐⭐⭐⭐,Pos,"Very good camera quality and smooth performance, rates it 5 stars."
180,Using for two days. Feeling awesome..,Pos,Feeling awesome after using for two days.
180,Very nice phone in this segments. The only problem is sometime it lag . Otherwise from every aspect it beats the competition.,Pos,"Very nice phone, lags sometimes but beats the competition in every aspect."
180,"The phone is very good, especially its camera, just wow.",Pos,"Very good phone, especially the camera."
180,Premium feeling in budget,Pos,Premium feeling in budget.
180,Nice one....,Pos,Nice one.
180,Very good product and a overall allrounder phone .But don't go for it because it quite weak phone,Neg,"Very good all-rounder but weak phone, don't buy."
180,"Fantastic device, i loved it , everything is good in this device, but battery size should be bigger",Pos,"Fantastic device, everything is good but battery size should be bigger."
180,Nice product,Pos,Nice product.
180,"value for money, good design, very premium in-hand feel overall a balanced smartphone",Pos,"Value for money, good design, premium feel, balanced smartphone."
180,Superb product,Pos,Superb product.
180,Product is good problem is lag to open an application,Neg,Product is good but lags when opening applications.
180,All good,Pos,All good.
180,All are good and battery chargeing very fast and camera good but performance is little bit slow,Neg,"All good, fast charging, good camera, but performance is a little slow."
180,"Best mobile under 25k
Thanku Flipkart",Pos,Best mobile under 25k.
180,Good phone and very fast delivered within 24 hours,Pos,Good phone and very fast delivery.
180,"One the best phone in this price range . No other mobile can compare with this one. I gift this one of my wife.
1.Camera Quality of the phone is phenomenal beautiful picture 5/5
2. Display looking and...",Pos,"Best phone in price range, phenomenal camera quality, beautiful picture, good display."
180,"I use this phone for my secondary phone and quality is brilliant 
Camera 10/10 
Performance 10/10 
Battery 10/10 
Display 08/10 
Heating playing pubg for 45 min and 
Charging speed se slow",Neg,"Good quality, camera, performance, battery, but display is okay, heats up playing PUBG, slow charging."
180,Superb phone,Pos,Superb phone.
180,Best phone in this segment. camera is also amazing overall good experience with motorola,Pos,"Best phone in segment, amazing camera, overall good experience."
180,"Camera , display and body design are awesome and performance is also good for casual gaming.
Battery can also last whole day on full charge.",Pos,"Awesome camera, display, design, good performance for casual gaming, battery lasts all day."
180,Nice,Pos,Nice.
180,Good product oosam look good battery backup,Pos,"Good product, awesome look, good battery backup."
210,"Nothing complaining, just the best phone in its segment. Moto is timely improving its design quality and customer's perception. Just a software fixes can help Moto to rule the market again.",Pos,"Best phone in its segment, Moto improving design, software fixes can help rule the market."
210,"Best camera, fast charging, super battery backup 
Motorola should include back cover in box this is the only one thing missing.",Pos,"Best camera, fast charging, super battery, should include back cover."
210,"You can't find any flaw in this phone
Display 10/10
Battery 9/10
Camera 9/10
Perfomance 9/10
Sound sterio spaker 10/10",Pos,"No flaws, great display, battery, camera, performance, and sound."
210,Value for money product.,Pos,Value for money product.
210,Best under budget pho,Pos,Best under budget phone.
210,I am loving 🤩 it' superb camera,Pos,"Loving it, superb camera."
210,Vary nice phone thanks you Motorola and Flipkart,Pos,"Very nice phone, thanks Motorola and Flipkart."
210,Nice mobile,Pos,Nice mobile.
210,"Best phone in budget, camera good, performance food
Only battery hitting problem on charging time
Please solve this in update",Neg,"Best phone in budget, good camera and performance, battery heats on charging."
210,Very good Product 🥰🥰,Pos,Very good product.
210,Very good mobile 📱,Pos,Very good mobile.
210,Product very good great price in segment,Pos,"Product very good, great price in segment."
210,Great mobile. Everything is good except the sound volume.,Neg,"Great mobile, everything good except sound volume."
210,Awesome product from moto,Pos,Awesome product from Moto.
210,The device is great and has nice ui experience.but some times the front camera resolution differs and the image while capturing is blurry but after the image is captured then it's great picture.over a...,Neg,"Great device, nice UI, front camera resolution differs, blurry image before capture."
210,Value for money,Pos,Value for money.
210,Nice and attractive. Good camera. Needs to improve just the light handling if it comes directly in front of the camera. Phone is superb,Neg,"Nice and attractive, good camera, needs light handling improvement."
210,Nice mobile,Pos,Nice mobile.
210,Very good,Pos,Very good.
210,Very good super product,Pos,Very good super product.
210,I think it's best all rounder stylish phone around 20k,Pos,Best all-rounder stylish phone around 20k.
210,"Nice design and display, with awesome camera and great experience with Dolby sound and amazing AI features and super battery performance and happy with 68 watt charging speed...overall best smartphone...",Pos,"Nice design, display, awesome camera, great sound, AI features, super battery, happy with charging."
210,This is a great phone with a good camera. I'm very happy with it.,Pos,"Great phone with a good camera, very happy."
240,Good,Pos,Good.
240,Super lovely 😍,Pos,Super lovely.
240,Under 25000 best phone.,Pos,Under 25000 best phone.
240,"Best phone in 25k budget 
All good display immersive 
Love this phone 🤌🩷",Pos,"Best phone in 25k budget, all good, immersive display."
240,"Very impressive phone, all over performance is very good, camera is also take very good picture, Moto AI features are very helpful, Thank you.",Pos,"Impressive phone with good performance, camera, and helpful AI features."
240,Excellent,Pos,Excellent.
240,Amazing camera quality worth for this budget...,Pos,"Amazing camera quality, worth the budget."
240,Best,Pos,Best.
240,"Superb quality...
Superb dolby Atmos effect 
Camera is awesome 
Superb Device.....",Pos,"Superb quality, Dolby Atmos effect, awesome camera, superb device."
240,Nice one !!,Pos,Nice one.
240,Brilliant phone osm display,Pos,Brilliant phone with an awesome display.
240,"An absolute banger at this price range...
Undoubtedly awesome...
A mobile with almost perfect in everything..Camera, battery, durability, display, sound, design everything is top notch... In recent He...",Pos,"An absolute banger, awesome mobile with almost perfect features."
240,Best camera this price range best display top display,Pos,Best camera and display in this price range.
240,"Camera quality is superb 
Battery life excellent 
Sound and screen quality is outstanding 
A must buy phone in this range 
Motorola always rocks",Pos,"Superb camera quality, excellent battery life, outstanding sound and screen."
240,Totally Worth it 😌,Pos,Totally worth it.
240,"One of the best mobile for this price segment 
I am didn't play game in mobile - Value for money",Pos,"One of the best mobiles for the price, good value for money."
240,"Nice phone... Fast charging 👌, battery backup good👌, camera overall good, processor average 😌, no hitting problem 👍, not for gaming (bgmi)...",Pos,"Nice phone, fast charging, good battery, good camera, average processor, no overheating, not for gaming."
240,Ok ok,Neu,Ok ok.
240,"Outstanding performance 😍😍
Very very nice 🙂",Pos,"Outstanding performance, very very nice."
240,Good phone. Value for money.,Pos,"Good phone, value for money."
240,Most valuable moto phone and good professor and over all good midel class,Pos,"Most valuable Moto phone, good processor, good mid-class."
270,Mind-blowing camera,Pos,Mind blowing camera.
270,"Absolutely in love with the phone, 💯 worth it",Pos,"Absolutely in love with the phone, worth it."
270,"Review after a week👇

Display- 5/5 (Better than aMOLED, Pleasant to eye with color depth. The best experience while watching a movie, 10bit support boosts the movie experience in Netflix)
Camera- 4.5...",Pos,"Good display and camera, pleasant viewing experience."
270,Excellent Display Quality.,Pos,Excellent display quality.
270,What a camera and the display colours are awesome absolutely go for it if you looking for a camera phone.,Pos,"Awesome camera and display colors, recommended for camera phone seekers."
270,Good bast mobile phone ❤️,Pos,Good best mobile phone.
270,Mobile display is good,Pos,Mobile display is good.
270,Good best better mobile moto,Pos,Good best better mobile moto.
270,I love this phone,Pos,I love this phone.
270,Value for money..nice Smart phone.. camara.. excellent  sound quality... Very good..specially display excellent performance .. Battery performance is not very good..but its ok.. slightly heating issue...,Pos,"Value for money, nice smartphone, excellent camera and sound, very good display, slight heating issue."
270,"Value for Money💵
Awesome Phone 📱 
Overall under 25000 budget Moto edge 60 fusion is extremely excellent 🔥
Camera =5/5📷
Performance=5/5
Display=5/5
Battery =4/5 🔋
I am very Happy with motorola 😍",Pos,"Value for money, awesome phone, excellent camera, performance, and display."
270,My brother loved it,Pos,My brother loved it.
270,"Overall, the best in its price range. Display is excellent. Fast charging works fine. Watching movies on Netflix even without hdr is awesome. For multimedia users, this is undoubtedly the best choice.",Pos,"Overall the best in its price range, excellent display, fast charging, great for multimedia."
270,Very nice and classy phone,Pos,Very nice and classy phone.
270,MOTOROLA EDGE 60 FUSION 5G IS SOO BEAUTIFUL,Pos,Motorola Edge 60 Fusion 5G is so beautiful.
270,"Camera 9/10
Processor 8/10
Display 10/10
Battery backup 8/10
Over all 8.5/10
Feels good in hand, very slim, finger scanner should have been slightly higher, display is awesome, processor should have b...",Pos,"Good camera, processor, display, and battery, feels good in hand."
270,Better then samsung,Pos,Better than Samsung.
270,Beautiful,Pos,Beautiful.
270,Good Mobile best price,Pos,"Good mobile, best price."
270,All good but front camera can be better..,Neg,All good except front camera could be better.
270,Every thing is ok... Only heating issues.... Hope moto will do something in his next software update,Neg,Everything is ok but has heating issues.
270,"Excellent phone at this price point. You can buy this phone without thinking about any other phones. No heat issue, no battery issue, no performance issue. Everything is just awesome. 

Specifically I...",Pos,"Excellent phone, no heat/battery/performance issues."
270,Super fast delivery and phone is very good,Pos,Super fast delivery and phone is very good.
270,Awesome 😎👍👍👍,Pos,Awesome.
270,Super and stylish design best price for buject,Pos,"Super and stylish design, best price for budget."
270,Just wow mobile 😍,Pos,Just wow mobile.
270,I like the weight of mobile which is very low. In hand feel very good.5g network is also very faster than other mobile I used. This is my first Moto mobile. Thank u motorola and flipkart for fast delivery.b,Pos,"Likes the light weight, good 5G, first Moto phone."
300,Phone is owsome,Pos,Phone is owsome.
300,Good,Pos,Good.
300,Thankyou moto @AJ,Pos,Thankyou moto aj.
300,everthing is good except performance. it can be better at this price range,Neg,Everything good except performance could be better.
300,Very nice and,Pos,Very nice and.
300,superb allrounder mobile,Pos,Superb allrounder mobile.
300,Good camera,Pos,Good camera.
300,It's good product and value of money,Pos,It's a good product and value of money.
300,Over whelmed,Pos,Overwhelmed.
300,Per,Neu,Per.
300,For this budget buy this phone,Pos,Buy this phone for this budget.
300,"Very good phone 
love moto 🤳👍",Pos,Very good phone love moto.
300,This Moto Edge 60 Fusion Have awesome features.and it's camera capture dslr like photos.,Pos,Moto Edge 60 Fusion has awesome features and DSLR-like camera.
300,"Great phone, I was previously using Motorola which was purchased a couple of years back. I really appreciate the way Motorola innovated in these couple of years. I can see the difference in same price...",Pos,"Great phone, appreciates Motorola's innovation."
300,Best phone under the budget,Pos,Best phone under the budget.
300,Good amazing Phone,Pos,Good amazing phone.
300,Value for money,Pos,Value for money.
300,"Fantastic phone, I have ever seen. It really click DSLR like photos and have great zoom.",Pos,"Fantastic phone, DSLR-like photos and great zoom."
300,Awesome and worthy for money 😁😁😁😁💰💰💰💰💰💰,Pos,Awesome and worthy for money.
300,"Camera Good 
Battery Nice 
Display awesome 
Design awesome 
Performance nic",Pos,"Camera good, battery nice, display awesome, design awesome, performance nic."
300,Good,Pos,Good.
300,This product is good,Pos,This product is good.
300,"Just amazing phone on this price 
Joyful sound 
Camera quality is very good",Pos,"Amazing phone, joyful sound, very good camera."
300,Good,Pos,Good.
300,Awesome Phone,Pos,Awesome phone.
300,So sexy mobile 😀😍🤤,Pos,So sexy mobile.
300,"It has everything but, if there were NFC and UFS 3.1, it woud be the best phone in this range.",Neg,Has everything but needs NFC and UFS 3.1.
300,"camera is very good.
comfortable to hold the phone in hand.",Pos,"Camera is very good, comfortable to hold."
300,Best,Pos,Best.
300,Powerful and camera centric phone 🙏🙏🙏👍👍👍👍💯💯💯💯💕💕💕💕💕💕💕💕,Pos,Powerful and camera centric phone.
300,Good Design also quick fast charging Camera quality is very super,Pos,"Good design, quick fast charging, super camera."
300,"Phone is super smooth, camera performance is quite good and captures well detailed photo. Moto AI feature is what make it distinct.",Pos,"Phone is super smooth, good camera, Moto AI is distinct."
300,"Amazing phone, camera, display, ai everything is top notch",Pos,"Amazing phone, camera display AI everything is top notch."
300,Excellent brilliant super beautiful performance and bhot acha phn hai very nyc look 💞💞💞💞,Pos,Excellent brilliant super beautiful performance and very nyc look.
300,super duper in this segment,Pos,Super duper in this segment.
300,"Brilliant display, immersive video watching experience. Very good speakers. 
Looks extremely premium with very good cameras. 

Overall very happy with the purchase!!",Pos,"Brilliant display, immersive video, good speakers, premium look, good cameras, happy with purchase."
300,Best Budget Segment Mobile 📱,Pos,Best budget segment mobile.
300,Just Awesome 💞💞,Pos,Just awesome.
300,Nice product thanks flipkart camara design was 👍 nice vera level camara curved display 1.5 k resolution ultimate media constipation is nice,Pos,"Nice product, good camera design, curved display, ultimate media experience."
300,For the Price range I would say Just go for it!,Pos,"For the price range, just go for it."
300,Great mobile for this price range. Display quality is soo good like premium. Camera quality also good. Worth for the money you had spend,Pos,"Great mobile for the price, good display and camera quality, worth the money."
300,Very good phone 📱 very good features,Pos,Very good phone with very good features.
300,No photo gallery     I'll be great if photo gallery pre installed,Neg,"No photo gallery, should be pre-installed."
300,OSM,Pos,Osm.
300,I love this phone ❤️,Pos,I love this phone.
300,Very good purchase if you want a light weight yet ossom quality phone for your daily use...but the only problem is the vegan leather gets dirty very easily..so never use it with out a case...,Pos,"Very good lightweight phone for daily use, vegan leather gets dirty easily."
330,What a mind-blowing phone,Pos,What a mind blowing phone.
330,One of the best smartphones in the 20-25k segment. Camera is very good at this price. Long hour Battery. Good fast charging.,Pos,"One of the best smartphones in the 20-25k segment, good camera, long battery, fast charging."
330,"1.super phone in budget sagment
2. camera very good
3.i like display",Pos,"Super phone in budget, good camera, likes display."
