days,content,cleaned_review,llm_output
30,"All good 👍 👍
Camera 5/5
Display 5/5
Design 5/5
Performance 5/5
Volume Thoda slow 3/5",all good camera 5 5 display 5 5 design 5 5 performance 5 5 volume thoda slow 3 5,"ID: 320 | Sentiment: Pos | Summary: All good: camera, display, design, performance, volume is a bit slow."
30,"Very nice product 👍
Value for money",very nice product value for money,"ID: 321 | Sentiment: Pos | Summary: Very nice product, value for money."
30,"It's been 6 months since I bought this phone. I bought this for my mom. Till now it's working fine and worth for money. Everything works fine. 

Note: Only recommended for parents who use it for media...",it s been 6 months since i bought this phone i bought this for my mom till now it s working fine and worth for money everything works fine note only recommended for parents who use it for media,"ID: 322 | Sentiment: Pos | Summary: Working fine for 6 months, worth the money, recommended for parents using it for media."
30,Very good,very good,ID: 323 | Sentiment: Pos | Summary: Very good.
30,Fantastic 😍,fantastic,ID: 324 | Sentiment: Pos | Summary: Fantastic.
30,Good mobile 1 mahina use experience 🔥💯,good mobile 1 mahina use experience,"ID: 325 | Sentiment: Pos | Summary: Good mobile, 1 month use experience."
30,Nice,nice,ID: 326 | Sentiment: Pos | Summary: Nice.
30,Nice pic,nice pic,ID: 327 | Sentiment: Pos | Summary: Nice pic.
60,Best in market under 18K,best in market under 18k,ID: 328 | Sentiment: Pos | Summary: Best in market under 18k.
60,Had a good experience,had a good experience,ID: 329 | Sentiment: Pos | Summary: Had a good experience.
60,Nice phone,nice phone,ID: 330 | Sentiment: Pos | Summary: Nice phone.
60,Nice moto phone 🤳,nice moto phone,ID: 331 | Sentiment: Pos | Summary: Nice moto phone.
60,Very nice,very nice,ID: 332 | Sentiment: Pos | Summary: Very nice.
60,Best camera phone in this price range. Best battery 🪫 backup.,best camera phone in this price range best battery backup,"ID: 333 | Sentiment: Pos | Summary: Best camera phone in this price range, best battery backup."
60,beautiful looking Nd good Camara overall best at price range,beautiful looking nd good camara overall best at price range,"ID: 334 | Sentiment: Pos | Summary: Beautiful looking and good camera, overall best at price range."
60,Very light weight and look like beautifull..,very light weight and look like beautifull,ID: 335 | Sentiment: Pos | Summary: Very light weight and look beautiful.
60,Super premium quality while I take this mobile in my hand.  Very slim and looking like an infinity display.because  of quad curve edges. The camera is awesome compared to 35 k mobile. This one is good,super premium quality while i take this mobile in my hand very slim and looking like an infinity display because of quad curve edges the camera is awesome compared to 35 k mobile this one is good,"ID: 336 | Sentiment: Pos | Summary: Super premium quality, slim, infinity display, awesome camera compared to 35k mobiles."
60,"Superb. Color and design is outstanding.
Under sunlight, performance is good with no photographical camera hang.
Overall it's good experience.",superb color and design is outstanding under sunlight performance is good with no photographical camera hang overall it s good experience,"ID: 337 | Sentiment: Pos | Summary: Superb color and outstanding design, good sunlight performance, no camera hang."
60,"Very nice phone .. performance is good , battery backup is satisfactory for normal use.
Camera performance also very good . But sometimes touch doesn't response but this happens in once in a week . No...",very nice phone performance is good battery backup is satisfactory for normal use camera performance also very good but sometimes touch doesn t response but this happens in once in a week no,"ID: 338 | Sentiment: Pos | Summary: Very nice phone, good performance and battery, very good camera, occasional touch issue."
60,This phone is very good... It's a all rounder phone,this phone is very good it s a all rounder phone,"ID: 339 | Sentiment: Pos | Summary: This phone is very good, it's an all-rounder."
90,Nice and perfect 👍,nice and perfect,ID: 340 | Sentiment: Pos | Summary: Nice and perfect.
90,I purchased this for my cousion Superb phone this is my 2nd edge 60 fusion phone,i purchased this for my cousion superb phone this is my 2nd edge 60 fusion phone,"ID: 341 | Sentiment: Pos | Summary: Purchased for cousin, superb phone, second Edge 60 Fusion."
90,Camera is so good 👍,camera is so good,ID: 342 | Sentiment: Pos | Summary: Camera is so good.
90,"Good phone with good specifications... Nice camera at this price .... The software is stock so it's clean.. 

No such useful AI features but we should not expect looking at the price...",good phone with good specifications nice camera at this price the software is stock so it s clean no such useful ai features but we should not expect looking at the price,"ID: 343 | Sentiment: Pos | Summary: Good phone with good specs, nice camera, stock software, lacks AI features expected at this price."
90,The camera is better integrated with the chipset and has more power on clicks as compared to 60 pro.,the camera is better integrated with the chipset and has more power on clicks as compared to 60 pro,ID: 344 | Sentiment: Pos | Summary: Camera better integrated and more powerful than 60 Pro.
90,"Accessories are very low quality 
Because of that I have been facing problems for a long time.",accessories are very low quality because of that i have been facing problems for a long time,ID: 345 | Sentiment: Neg | Summary: Accessories are low quality causing problems.
90,"The best phone I've ever used. No lag no heating issue...flawless running and secured with latest patches updates.
Thanks moto",the best phone i ve ever used no lag no heating issue flawless running and secured with latest patches updates thanks moto,"ID: 346 | Sentiment: Pos | Summary: Best phone ever, no lag, no heating, flawless, secure with updates."
120,Nice pic of cam,nice pic of cam,ID: 347 | Sentiment: Pos | Summary: Nice pic of cam.
120,Gd,gd,ID: 348 | Sentiment: Pos | Summary: Gd.
150,"As i have using it for the last 1 month, the phone is perfect for the price range. And over all performance is better to other brand mobiles in this segment",as i have using it for the last 1 month the phone is perfect for the price range and over all performance is better to other brand mobiles in this segment,"ID: 349 | Sentiment: Pos | Summary: Perfect for the price range, better performance than other brands."
150,Amazing,amazing,ID: 350 | Sentiment: Pos | Summary: Amazing.
150,After using 2 month it's feel good mobile and software camera nice display and battery capacity awasome....charge time little bit late but after charging use 2 days nice phone worth for money,after using 2 month it s feel good mobile and software camera nice display and battery capacity awasome charge time little bit late but after charging use 2 days nice phone worth for money,"ID: 351 | Sentiment: Pos | Summary: Feels good, nice software, camera, display, awesome battery, slow charge, worth the money."
150,Very very good 👍 and nice 🙂🙂,very very good and nice,ID: 352 | Sentiment: Pos | Summary: Very very good and nice.
150,Best Phone in Budget. Go ahead with Moto,best phone in budget go ahead with moto,"ID: 353 | Sentiment: Pos | Summary: Best phone in budget, go ahead with moto."
150,Good 👍,good,ID: 354 | Sentiment: Pos | Summary: Good.
150,Super camera 📸 best battery 1  1/5 Day superb display,super camera best battery 1 1 5 day superb display,"ID: 355 | Sentiment: Pos | Summary: Super camera, best battery, superb display."
150,Best phone . Best feature. Camera quality is excellent.,best phone best feature camera quality is excellent,"ID: 356 | Sentiment: Pos | Summary: Best phone, best feature, excellent camera quality."
150,Best phone under 20k ..... Leave realme p4 pro ..... Buy this!,best phone under 20k leave realme p4 pro buy this,"ID: 357 | Sentiment: Pos | Summary: Best phone under 20k, buy this instead of Realme P4 Pro."
150,Good phone,good phone,ID: 358 | Sentiment: Pos | Summary: Good phone.
150,Very nice,very nice,ID: 359 | Sentiment: Pos | Summary: Very nice.
150,All Good But Performance slightly slower for gaming people,all good but performance slightly slower for gaming people,ID: 360 | Sentiment: Neg | Summary: All good but performance slightly slower for gaming.
150,Semma mobile,semma mobile,ID: 361 | Sentiment: Pos | Summary: Semma mobile.
150,Amazing . I am happy with this mobile,amazing i am happy with this mobile,"ID: 362 | Sentiment: Pos | Summary: Amazing, happy with this mobile."
150,The design is very good even with a slim phone. The rear camera is good but the front can be better if they work more on it and overall performance is good but the screen guard for the curved display ...,the design is very good even with a slim phone the rear camera is good but the front can be better if they work more on it and overall performance is good but the screen guard for the curved display,"ID: 363 | Sentiment: Pos | Summary: Good design, rear camera good, front camera could be better, good performance, screen guard issue."
150,Best in the segment,best in the segment,ID: 364 | Sentiment: Pos | Summary: Best in the segment.
150,"All good 👍😊 
Brilliant camera,performance and battery life, charging speed is faster. 
But Display brightness are outer for seen average",all good brilliant camera performance and battery life charging speed is faster but display brightness are outer for seen average,"ID: 365 | Sentiment: Pos | Summary: All good, brilliant camera and battery, fast charging, average display brightness outdoors."
150,Super phone my wife was so happy,super phone my wife was so happy,"ID: 366 | Sentiment: Pos | Summary: Super phone, wife was so happy."
150,Very good phone 🤘🤙,very good phone,ID: 367 | Sentiment: Pos | Summary: Very good phone.
150,Excellent,excellent,ID: 368 | Sentiment: Pos | Summary: Excellent.
150,Under 20k wonderful mobile,under 20k wonderful mobile,ID: 369 | Sentiment: Pos | Summary: Under 20k wonderful mobile.
150,Best mobile on this affordable price loved it ! ❤️🙌,best mobile on this affordable price loved it,"ID: 370 | Sentiment: Pos | Summary: Best mobile on this affordable price, loved it."
150,"*Awesome phone!*  
Moto Edge 60 Fusion is very smooth and stylish. Display is super clear, phone is fast, and charging is very quick. Camera quality is good. Battery lasts well. Totally worth the pric...",awesome phone moto edge 60 fusion is very smooth and stylish display is super clear phone is fast and charging is very quick camera quality is good battery lasts well totally worth the pric,"ID: 371 | Sentiment: Pos | Summary: Awesome phone, smooth, stylish, clear display, fast, quick charging, good camera, good battery, worth the price."
150,But back side cover and screen gud has given more ha,but back side cover and screen gud has given more ha,ID: 372 | Sentiment: Neg | Summary: Back side cover and screen guard has given more ha.
150,Good performance 👍,good performance,ID: 373 | Sentiment: Pos | Summary: Good performance.
150,Good,good,ID: 374 | Sentiment: Pos | Summary: Good.
150,Awesome 👍,awesome,ID: 375 | Sentiment: Pos | Summary: Awesome.
150,Best all-rounder,best all rounder,ID: 376 | Sentiment: Pos | Summary: Best all rounder.
150,Very nice,very nice,ID: 377 | Sentiment: Pos | Summary: Very nice.
150,Overall fone is good. There is an fm radio app missing.,overall fone is good there is an fm radio app missing,"ID: 378 | Sentiment: Neg | Summary: Overall good phone, missing FM radio app."
150,"Overall a very good device performance wise.
Good processor.
Virtually expandable RAM.
Cameras are clear.

Just I wish Moto should make phones without curved display. It's not that amazing thing but a...",overall a very good device performance wise good processor virtually expandable ram cameras are clear just i wish moto should make phones without curved display it s not that amazing thing but a,"ID: 379 | Sentiment: Pos | Summary: Good device with clear cameras and expandable RAM, but prefers non-curved displays."
150,Very nice,very nice,ID: 380 | Sentiment: Pos | Summary: Very nice.
150,"Camera - 4.5/5 ( back camer)
               4/5 ( front camera)
Display - 5/5
Battery - 4/5
Design - 3.5/5
Overall a good budget phone 
Thankyou",camera 4 5 5 back camer 4 5 front camera display 5 5 battery 4 5 design 3 5 5 overall a good budget phone thankyou,"ID: 381 | Sentiment: Pos | Summary: Good budget phone with positive ratings for camera, display, and battery."
180,"The great been using egde 60 fusion till now , it's been more the 2 month and it's definitely worth the investment , battery life is one of the main advantage .",the great been using egde 60 fusion till now it s been more the 2 month and it s definitely worth the investment battery life is one of the main advantage,"ID: 382 | Sentiment: Pos | Summary: Great phone, Edge 60 Fusion worth the investment, especially for battery life."
180,Great phone,great phone,ID: 383 | Sentiment: Pos | Summary: Great phone.
180,Thank you,thank you,ID: 384 | Sentiment: Pos | Summary: Thank you.
180,original product,original product,ID: 385 | Sentiment: Pos | Summary: Original product.
180,Very good,very good,ID: 386 | Sentiment: Pos | Summary: Very good.
180,Besst mobile mustttt buyyyu,besst mobile mustttt buyyyu,"ID: 387 | Sentiment: Pos | Summary: Best mobile, must buy."
180,This is q good product with adorable quality but could have been significantly improved,this is q good product with adorable quality but could have been significantly improved,"ID: 388 | Sentiment: Pos | Summary: Good product with adorable quality, but could be improved."
180,Very good and nice,very good and nice,ID: 389 | Sentiment: Pos | Summary: Very good and nice.
180,Good product in 19k,good product in 19k,ID: 390 | Sentiment: Pos | Summary: Good product for 19k.
180,Very amazing mobile phone under 23k,very amazing mobile phone under 23k,ID: 391 | Sentiment: Pos | Summary: Very amazing mobile phone under 23k.
180,Design and performance is peak! Build quality is very admirable although we will be looking forward for new and better devices till now the current device we have is impressive.,design and performance is peak build quality is very admirable although we will be looking forward for new and better devices till now the current device we have is impressive,"ID: 392 | Sentiment: Pos | Summary: Design and performance are peak, build quality is admirable, looking forward to future devices."
180,"Its a great deal to have ! Best ever phone from the house of Hello Moto !!!! Camera is doing lot more in this price segment. 

The curved screen male this device more premium.",its a great deal to have best ever phone from the house of hello moto camera is doing lot more in this price segment the curved screen male this device more premium,ID: 393 | Sentiment: Pos | Summary: Great phone with good camera and premium curved screen.
180,"Using this phone for 2 months now and quite satisfied with it
Display is superb 10/10
Battery is enough with 68w fast charging 10/10
Design is premium 10/10
UI is good 9/10
Camera 9/10",using this phone for 2 months now and quite satisfied with it display is superb 10 10 battery is enough with 68w fast charging 10 10 design is premium 10 10 ui is good 9 10 camera 9 10,"ID: 394 | Sentiment: Pos | Summary: Satisfied with the phone's display, battery, design, UI, and camera."
180,So good and the camera quality is literally very good and it is going so smoothly it is so good i like it ihad rate it 5 ⭐⭐⭐⭐⭐,so good and the camera quality is literally very good and it is going so smoothly it is so good i like it ihad rate it 5,"ID: 395 | Sentiment: Pos | Summary: Very good camera quality and smooth performance, rates it 5 stars."
180,Using for two days. Feeling awesome..,using for two days feeling awesome,ID: 396 | Sentiment: Pos | Summary: Feeling awesome after using for two days.
180,Very nice phone in this segments. The only problem is sometime it lag . Otherwise from every aspect it beats the competition.,very nice phone in this segments the only is sometime it lag otherwise from every aspect it beats the competition,"ID: 397 | Sentiment: Pos | Summary: Very nice phone, lags sometimes but beats the competition in every aspect."
180,"The phone is very good, especially its camera, just wow.",the phone is very good especially its camera just wow,"ID: 398 | Sentiment: Pos | Summary: Very good phone, especially the camera."
180,Premium feeling in budget,premium feeling in budget,ID: 399 | Sentiment: Pos | Summary: Premium feeling in budget.
180,Nice one....,nice one,ID: 400 | Sentiment: Pos | Summary: Nice one.
180,Very good product and a overall allrounder phone .But don't go for it because it quite weak phone,very good product and a overall allrounder phone but don t go for it because it quite weak phone,"ID: 401 | Sentiment: Neg | Summary: Very good all-rounder but weak phone, don't buy."
180,"Fantastic device, i loved it , everything is good in this device, but battery size should be bigger",fantastic device i loved it everything is good in this device but battery size should be bigger,"ID: 402 | Sentiment: Pos | Summary: Fantastic device, everything is good but battery size should be bigger."
180,Nice product,nice product,ID: 403 | Sentiment: Pos | Summary: Nice product.
180,"value for money, good design, very premium in-hand feel overall a balanced smartphone",value for money good design very premium in hand feel overall a balanced smartphone,"ID: 404 | Sentiment: Pos | Summary: Value for money, good design, premium feel, balanced smartphone."
180,Superb product,superb product,ID: 405 | Sentiment: Pos | Summary: Superb product.
180,Product is good problem is lag to open an application,product is good is lag to open an application,ID: 406 | Sentiment: Neg | Summary: Product is good but lags when opening applications.
180,All good,all good,ID: 407 | Sentiment: Pos | Summary: All good.
180,All are good and battery chargeing very fast and camera good but performance is little bit slow,all are good and battery chargeing very fast and camera good but performance is little bit slow,"ID: 408 | Sentiment: Neg | Summary: All good, fast charging, good camera, but performance is a little slow."
180,"Best mobile under 25k
Thanku Flipkart",best mobile under 25k thanku flipkart,ID: 409 | Sentiment: Pos | Summary: Best mobile under 25k.
180,Good phone and very fast delivered within 24 hours,good phone and very fast delivered within 24 hours,ID: 410 | Sentiment: Pos | Summary: Good phone and very fast delivery.
180,"One the best phone in this price range . No other mobile can compare with this one. I gift this one of my wife.
1.Camera Quality of the phone is phenomenal beautiful picture 5/5
2. Display looking and...",one the best phone in this price range no other mobile can compare with this one i gift this one of my wife 1 camera quality of the phone is phenomenal beautiful picture 5 5 2 display looking and,"ID: 411 | Sentiment: Pos | Summary: Best phone in price range, phenomenal camera quality, beautiful picture, good display."
180,"I use this phone for my secondary phone and quality is brilliant 
Camera 10/10 
Performance 10/10 
Battery 10/10 
Display 08/10 
Heating playing pubg for 45 min and 
Charging speed se slow",i use this phone for my secondary phone and quality is brilliant camera 10 10 performance 10 10 battery 10 10 display 08 10 heating playing pubg for 45 min and charging speed se slow,"ID: 412 | Sentiment: Neg | Summary: Good quality, camera, performance, battery, but display is okay, heats up playing PUBG, slow charging."
180,Superb phone,superb phone,ID: 413 | Sentiment: Pos | Summary: Superb phone.
180,Best phone in this segment. camera is also amazing overall good experience with motorola,best phone in this segment camera is also amazing overall good experience with motorola,"ID: 414 | Sentiment: Pos | Summary: Best phone in segment, amazing camera, overall good experience."
180,"Camera , display and body design are awesome and performance is also good for casual gaming.
Battery can also last whole day on full charge.",camera display and body design are awesome and performance is also good for casual gaming battery can also last whole day on full charge,"ID: 415 | Sentiment: Pos | Summary: Awesome camera, display, design, good performance for casual gaming, battery lasts all day."
180,Nice,nice,ID: 416 | Sentiment: Pos | Summary: Nice.
180,Good product oosam look good battery backup,good product oosam look good battery backup,"ID: 417 | Sentiment: Pos | Summary: Good product, awesome look, good battery backup."
210,"Nothing complaining, just the best phone in its segment. Moto is timely improving its design quality and customer's perception. Just a software fixes can help Moto to rule the market again.",nothing complaining just the best phone in its segment moto is timely improving its design quality and customer s perception just a software fixes can help moto to rule the market again,"ID: 418 | Sentiment: Pos | Summary: Best phone in its segment, Moto improving design, software fixes can help rule the market."
210,"Best camera, fast charging, super battery backup 
Motorola should include back cover in box this is the only one thing missing.",best camera fast charging super battery backup motorola should include back cover in box this is the only one thing missing,"ID: 419 | Sentiment: Pos | Summary: Best camera, fast charging, super battery, should include back cover."
210,"You can't find any flaw in this phone
Display 10/10
Battery 9/10
Camera 9/10
Perfomance 9/10
Sound sterio spaker 10/10",you can t find any flaw in this phone display 10 10 battery 9 10 camera 9 10 perfomance 9 10 sound sterio spaker 10 10,"ID: 420 | Sentiment: Pos | Summary: No flaws, great display, battery, camera, performance, and sound."
210,Value for money product.,value for money product,ID: 421 | Sentiment: Pos | Summary: Value for money product.
210,Best under budget pho,best under budget pho,ID: 422 | Sentiment: Pos | Summary: Best under budget phone.
210,I am loving 🤩 it' superb camera,i am loving it superb camera,"ID: 423 | Sentiment: Pos | Summary: Loving it, superb camera."
210,Vary nice phone thanks you Motorola and Flipkart,vary nice phone thanks you motorola and flipkart,"ID: 424 | Sentiment: Pos | Summary: Very nice phone, thanks Motorola and Flipkart."
210,Nice mobile,nice mobile,ID: 425 | Sentiment: Pos | Summary: Nice mobile.
210,"Best phone in budget, camera good, performance food
Only battery hitting problem on charging time
Please solve this in update",best phone in budget camera good performance food only battery hitting on charging time please solve this in update,"ID: 426 | Sentiment: Neg | Summary: Best phone in budget, good camera and performance, battery heats on charging."
210,Very good Product 🥰🥰,very good product,ID: 427 | Sentiment: Pos | Summary: Very good product.
210,Very good mobile 📱,very good mobile,ID: 428 | Sentiment: Pos | Summary: Very good mobile.
210,Product very good great price in segment,product very good great price in segment,"ID: 429 | Sentiment: Pos | Summary: Product very good, great price in segment."
210,Great mobile. Everything is good except the sound volume.,great mobile everything is good except the sound volume,"ID: 430 | Sentiment: Neg | Summary: Great mobile, everything good except sound volume."
210,Awesome product from moto,awesome product from moto,ID: 431 | Sentiment: Pos | Summary: Awesome product from Moto.
210,The device is great and has nice ui experience.but some times the front camera resolution differs and the image while capturing is blurry but after the image is captured then it's great picture.over a...,the device is great and has nice ui experience but some times the front camera resolution differs and the image while capturing is blurry but after the image is captured then it s great picture over a,"ID: 432 | Sentiment: Neg | Summary: Great device, nice UI, front camera resolution differs, blurry image before capture."
210,Value for money,value for money,ID: 433 | Sentiment: Pos | Summary: Value for money.
210,Nice and attractive. Good camera. Needs to improve just the light handling if it comes directly in front of the camera. Phone is superb,nice and attractive good camera needs to improve just the light handling if it comes directly in front of the camera phone is superb,"ID: 434 | Sentiment: Neg | Summary: Nice and attractive, good camera, needs light handling improvement."
210,Nice mobile,nice mobile,ID: 435 | Sentiment: Pos | Summary: Nice mobile.
210,Very good,very good,ID: 436 | Sentiment: Pos | Summary: Very good.
210,Very good super product,very good super product,ID: 437 | Sentiment: Pos | Summary: Very good super product.
210,I think it's best all rounder stylish phone around 20k,i think it s best all rounder stylish phone around 20k,ID: 438 | Sentiment: Pos | Summary: Best all-rounder stylish phone around 20k.
210,"Nice design and display, with awesome camera and great experience with Dolby sound and amazing AI features and super battery performance and happy with 68 watt charging speed...overall best smartphone...",nice design and display with awesome camera and great experience with dolby sound and amazing ai features and super battery performance and happy with 68 watt charging speed overall best smartphone,"ID: 439 | Sentiment: Pos | Summary: Nice design, display, awesome camera, great sound, AI features, super battery, happy with charging."
210,This is a great phone with a good camera. I'm very happy with it.,this is a great phone with a good camera i m very happy with it,"ID: 440 | Sentiment: Pos | Summary: Great phone with a good camera, very happy."
240,Good,good,ID: 441 | Sentiment: Pos | Summary: Good.
240,Super lovely 😍,super lovely,ID: 442 | Sentiment: Pos | Summary: Super lovely.
240,Under 25000 best phone.,under 25000 best phone,ID: 443 | Sentiment: Pos | Summary: Under 25000 best phone.
240,"Best phone in 25k budget 
All good display immersive 
Love this phone 🤌🩷",best phone in 25k budget all good display immersive love this phone,"ID: 444 | Sentiment: Pos | Summary: Best phone in 25k budget, all good, immersive display."
240,"Very impressive phone, all over performance is very good, camera is also take very good picture, Moto AI features are very helpful, Thank you.",very impressive phone all over performance is very good camera is also take very good picture moto ai features are very helpful thank you,"ID: 445 | Sentiment: Pos | Summary: Impressive phone with good performance, camera, and helpful AI features."
240,Excellent,excellent,ID: 446 | Sentiment: Pos | Summary: Excellent.
240,Amazing camera quality worth for this budget...,amazing camera quality worth for this budget,"ID: 447 | Sentiment: Pos | Summary: Amazing camera quality, worth the budget."
240,Best,best,ID: 448 | Sentiment: Pos | Summary: Best.
240,"Superb quality...
Superb dolby Atmos effect 
Camera is awesome 
Superb Device.....",superb quality superb dolby atmos effect camera is awesome superb device,"ID: 449 | Sentiment: Pos | Summary: Superb quality, Dolby Atmos effect, awesome camera, superb device."
240,Nice one !!,nice one,ID: 450 | Sentiment: Pos | Summary: Nice one.
240,Brilliant phone osm display,brilliant phone osm display,ID: 451 | Sentiment: Pos | Summary: Brilliant phone with an awesome display.
240,"An absolute banger at this price range...
Undoubtedly awesome...
A mobile with almost perfect in everything..Camera, battery, durability, display, sound, design everything is top notch... In recent He...",an absolute banger at this price range undoubtedly awesome a mobile with almost perfect in everything camera battery durability display sound design everything is top notch in recent he,"ID: 452 | Sentiment: Pos | Summary: An absolute banger, awesome mobile with almost perfect features."
240,Best camera this price range best display top display,best camera this price range best display top display,ID: 453 | Sentiment: Pos | Summary: Best camera and display in this price range.
240,"Camera quality is superb 
Battery life excellent 
Sound and screen quality is outstanding 
A must buy phone in this range 
Motorola always rocks",camera quality is superb battery life excellent sound and screen quality is outstanding a must buy phone in this range motorola always rocks,"ID: 454 | Sentiment: Pos | Summary: Superb camera quality, excellent battery life, outstanding sound and screen."
240,Totally Worth it 😌,totally worth it,ID: 455 | Sentiment: Pos | Summary: Totally worth it.
240,"One of the best mobile for this price segment 
I am didn't play game in mobile - Value for money",one of the best mobile for this price segment i am didn t play game in mobile value for money,"ID: 456 | Sentiment: Pos | Summary: One of the best mobiles for the price, good value for money."
240,"Nice phone... Fast charging 👌, battery backup good👌, camera overall good, processor average 😌, no hitting problem 👍, not for gaming (bgmi)...",nice phone fast charging battery backup good camera overall good processor average no hitting not for gaming bgmi,"ID: 457 | Sentiment: Pos | Summary: Nice phone, fast charging, good battery, good camera, average processor, no overheating, not for gaming."
240,Ok ok,ok ok,ID: 458 | Sentiment: Neu | Summary: Ok ok.
240,"Outstanding performance 😍😍
Very very nice 🙂",outstanding performance very very nice,"ID: 459 | Sentiment: Pos | Summary: Outstanding performance, very very nice."
240,Good phone. Value for money.,good phone value for money,"ID: 460 | Sentiment: Pos | Summary: Good phone, value for money."
240,Most valuable moto phone and good professor and over all good midel class,most valuable moto phone and good professor and over all good midel class,"ID: 461 | Sentiment: Pos | Summary: Most valuable Moto phone, good processor, good mid-class."
270,Mind-blowing camera,mind blowing camera,ID: 462 | Sentiment: Pos | Summary: Mind blowing camera.
270,"Absolutely in love with the phone, 💯 worth it",absolutely in love with the phone worth it,"ID: 463 | Sentiment: Pos | Summary: Absolutely in love with the phone, worth it."
270,"Review after a week👇

Display- 5/5 (Better than aMOLED, Pleasant to eye with color depth. The best experience while watching a movie, 10bit support boosts the movie experience in Netflix)
Camera- 4.5...",review after a week display 5 5 better than amoled pleasant to eye with color depth the best experience while watching a movie 10bit support boosts the movie experience in netflix camera 4 5,"ID: 464 | Sentiment: Pos | Summary: Good display and camera, pleasant viewing experience."
270,Excellent Display Quality.,excellent display quality,ID: 465 | Sentiment: Pos | Summary: Excellent display quality.
270,What a camera and the display colours are awesome absolutely go for it if you looking for a camera phone.,what a camera and the display colours are awesome absolutely go for it if you looking for a camera phone,"ID: 466 | Sentiment: Pos | Summary: Awesome camera and display colors, recommended for camera phone seekers."
270,Good bast mobile phone ❤️,good bast mobile phone,ID: 467 | Sentiment: Pos | Summary: Good best mobile phone.
270,Mobile display is good,mobile display is good,ID: 468 | Sentiment: Pos | Summary: Mobile display is good.
270,Good best better mobile moto,good best better mobile moto,ID: 469 | Sentiment: Pos | Summary: Good best better mobile moto.
270,I love this phone,i love this phone,ID: 470 | Sentiment: Pos | Summary: I love this phone.
270,Value for money..nice Smart phone.. camara.. excellent  sound quality... Very good..specially display excellent performance .. Battery performance is not very good..but its ok.. slightly heating issue...,value for money nice smart phone camara excellent sound quality very good specially display excellent performance battery performance is not very good but its ok slightly heating issue,"ID: 471 | Sentiment: Pos | Summary: Value for money, nice smartphone, excellent camera and sound, very good display, slight heating issue."
270,"Value for Money💵
Awesome Phone 📱 
Overall under 25000 budget Moto edge 60 fusion is extremely excellent 🔥
Camera =5/5📷
Performance=5/5
Display=5/5
Battery =4/5 🔋
I am very Happy with motorola 😍",value for money awesome phone overall under 25000 budget moto edge 60 fusion is extremely excellent camera 5 5 performance 5 5 display 5 5 battery 4 5 i am very happy with motorola,"ID: 472 | Sentiment: Pos | Summary: Value for money, awesome phone, excellent camera, performance, and display."
270,My brother loved it,my brother loved it,ID: 473 | Sentiment: Pos | Summary: My brother loved it.
270,"Overall, the best in its price range. Display is excellent. Fast charging works fine. Watching movies on Netflix even without hdr is awesome. For multimedia users, this is undoubtedly the best choice.",overall the best in its price range display is excellent fast charging works fine watching movies on netflix even without hdr is awesome for multimedia users this is undoubtedly the best choice,"ID: 474 | Sentiment: Pos | Summary: Overall the best in its price range, excellent display, fast charging, great for multimedia."
270,Very nice and classy phone,very nice and classy phone,ID: 475 | Sentiment: Pos | Summary: Very nice and classy phone.
270,MOTOROLA EDGE 60 FUSION 5G IS SOO BEAUTIFUL,motorola edge 60 fusion 5g is soo beautiful,ID: 476 | Sentiment: Pos | Summary: Motorola Edge 60 Fusion 5G is so beautiful.
270,"Camera 9/10
Processor 8/10
Display 10/10
Battery backup 8/10
Over all 8.5/10
Feels good in hand, very slim, finger scanner should have been slightly higher, display is awesome, processor should have b...",camera 9 10 processor 8 10 display 10 10 battery backup 8 10 over all 8 5 10 feels good in hand very slim finger scanner should have been slightly higher display is awesome processor should have b,"ID: 477 | Sentiment: Pos | Summary: Good camera, processor, display, and battery, feels good in hand."
270,Better then samsung,better then samsung,ID: 478 | Sentiment: Pos | Summary: Better than Samsung.
270,Beautiful,beautiful,ID: 479 | Sentiment: Pos | Summary: Beautiful.
270,Good Mobile best price,good mobile best price,"ID: 480 | Sentiment: Pos | Summary: Good mobile, best price."
270,All good but front camera can be better..,all good but front camera can be better,ID: 481 | Sentiment: Neg | Summary: All good except front camera could be better.
270,Every thing is ok... Only heating issues.... Hope moto will do something in his next software update,every thing is ok only heating issues hope moto will do something in his next software update,ID: 482 | Sentiment: Neg | Summary: Everything is ok but has heating issues.
270,"Excellent phone at this price point. You can buy this phone without thinking about any other phones. No heat issue, no battery issue, no performance issue. Everything is just awesome. 

Specifically I...",excellent phone at this price point you can buy this phone without thinking about any other phones no heat issue no battery issue no performance issue everything is just awesome specifically i,"ID: 483 | Sentiment: Pos | Summary: Excellent phone, no heat/battery/performance issues."
270,Super fast delivery and phone is very good,super fast delivery and phone is very good,ID: 484 | Sentiment: Pos | Summary: Super fast delivery and phone is very good.
270,Awesome 😎👍👍👍,awesome,ID: 485 | Sentiment: Pos | Summary: Awesome.
270,Super and stylish design best price for buject,super and stylish design best price for buject,"ID: 486 | Sentiment: Pos | Summary: Super and stylish design, best price for budget."
270,Just wow mobile 😍,just wow mobile,ID: 487 | Sentiment: Pos | Summary: Just wow mobile.
